id,round,accuracy,loss
-1,0,0.083,1.8322
-1,1,0.091,1.8219
-1,2,0.102,1.8119
-1,3,0.106,1.8023
-1,4,0.1165,1.7929
-1,5,0.135,1.7839
-1,6,0.183,1.7752
-1,7,0.2775,1.7668
-1,8,0.3515,1.7586
-1,9,0.3695,1.7508
-1,10,0.378,1.7432
-1,11,0.3685,1.7358
-1,12,0.363,1.7288
-1,13,0.363,1.7219
-1,14,0.363,1.7154
-1,15,0.36,1.709
-1,16,0.355,1.7029
-1,17,0.3535,1.697
-1,18,0.3505,1.6914
-1,19,0.348,1.6859
-1,20,0.3455,1.6806
-1,21,0.3455,1.6756
-1,22,0.3465,1.6707
-1,23,0.347,1.6661
-1,24,0.348,1.6616
-1,25,0.348,1.6573
-1,26,0.3475,1.6531
-1,27,0.3475,1.6491
-1,28,0.348,1.6453
-1,29,0.348,1.6416
-1,30,0.348,1.6381
-1,31,0.3475,1.6347
-1,32,0.3475,1.6315
-1,33,0.3475,1.6284
-1,34,0.3475,1.6254
-1,35,0.3475,1.6225
-1,36,0.3475,1.6198
-1,37,0.3475,1.6172
-1,38,0.3475,1.6146
-1,39,0.3475,1.6122
-1,40,0.3475,1.6099
0,0,0.083,1.8322
0,1,0.095,1.8189
0,2,0.1085,1.8063
0,3,0.1205,1.7942
0,4,0.1465,1.7827
0,5,0.2395,1.7716
0,6,0.325,1.7611
0,7,0.3765,1.751
0,8,0.3775,1.7414
0,9,0.375,1.7321
0,10,0.3675,1.7233
0,11,0.365,1.7149
0,12,0.3635,1.7069
0,13,0.3605,1.6992
0,14,0.3565,1.6918
0,15,0.353,1.6848
0,16,0.351,1.6781
0,17,0.349,1.6717
0,18,0.35,1.6656
0,19,0.348,1.6598
0,20,0.3485,1.6542
0,21,0.3485,1.6489
0,22,0.348,1.6438
0,23,0.3475,1.639
0,24,0.348,1.6344
0,25,0.348,1.6301
0,26,0.348,1.6259
0,27,0.3475,1.622
0,28,0.3475,1.6182
0,29,0.3475,1.6147
0,30,0.3475,1.6113
0,31,0.3475,1.6081
0,32,0.3475,1.6051
0,33,0.3475,1.6022
0,34,0.3475,1.5995
0,35,0.3475,1.5969
0,36,0.3475,1.5945
0,37,0.3475,1.5922
0,38,0.3475,1.59
0,39,0.3475,1.588
0,40,0.3475,1.586
1,0,0.083,1.8322
1,1,0.0985,1.8185
1,2,0.112,1.8055
1,3,0.122,1.7931
1,4,0.1485,1.7812
1,5,0.2465,1.7699
1,6,0.327,1.7591
1,7,0.361,1.7488
1,8,0.3635,1.7389
1,9,0.361,1.7295
1,10,0.356,1.7205
1,11,0.35,1.7119
1,12,0.3485,1.7037
1,13,0.3465,1.6958
