id,round,accuracy,loss
-1,0,0.1032,2.3087
-1,1,0.1816,2.2536
-1,2,0.2298,2.2019
-1,3,0.2638,2.1448
-1,4,0.2802,2.0909
-1,5,0.2979,2.0487
-1,6,0.3057,2.0105
-1,7,0.3146,1.984
-1,8,0.3166,1.9527
-1,9,0.3266,1.9326
-1,10,0.3318,1.912
-1,11,0.335,1.8945
-1,12,0.34,1.8724
-1,13,0.3469,1.8559
-1,14,0.3496,1.8432
-1,15,0.3556,1.8252
0,0,0.1032,2.3087
0,1,0.1875,2.255
0,2,0.2389,2.2027
0,3,0.2505,2.1444
0,4,0.2655,2.0872
0,5,0.2831,2.0385
0,6,0.289,2.005
0,7,0.3034,1.9801
0,8,0.3116,1.9509
0,9,0.3115,1.9336
0,10,0.3226,1.9146
0,11,0.332,1.8979
0,12,0.3348,1.8776
0,13,0.3412,1.8673
0,14,0.346,1.8535
0,15,0.3546,1.8404
1,0,0.1032,2.3087
1,1,0.176,2.2587
1,2,0.2258,2.2026
1,3,0.2521,2.1467
1,4,0.2649,2.0919
1,5,0.288,2.0393
1,6,0.3018,2.0031
1,7,0.306,1.9732
1,8,0.3186,1.9479
1,9,0.3211,1.9292
1,10,0.3239,1.909
1,11,0.3314,1.8901
1,12,0.3355,1.8737
1,13,0.3378,1.8628
1,14,0.3493,1.8486
1,15,0.3526,1.8343
2,0,0.1032,2.3087
2,1,0.1836,2.2543
2,2,0.215,2.2019
2,3,0.2588,2.1427
2,4,0.2712,2.079
2,5,0.2972,2.0236
2,6,0.3098,1.9835
2,7,0.3087,1.9544
2,8,0.3148,1.9299
2,9,0.3187,1.9124
2,10,0.325,1.9002
2,11,0.3367,1.8775
2,12,0.3425,1.8578
2,13,0.3434,1.8504
2,14,0.3536,1.8335
2,15,0.3607,1.8186
3,0,0.1032,2.3087
3,1,0.173,2.2541
3,2,0.2354,2.1874
3,3,0.263,2.1156
3,4,0.2822,2.048
3,5,0.2906,2.0001
3,6,0.306,1.9665
3,7,0.299,1.9436
3,8,0.3204,1.9209
3,9,0.3273,1.8978
3,10,0.3371,1.8715
3,11,0.348,1.8503
3,12,0.3503,1.8394
3,13,0.3493,1.8353
3,14,0.3542,1.832
3,15,0.3524,1.8275
