id,round,accuracy,loss
0.1,0,0.1032,2.3087
0.1,1,0.125,2.4309
0.1,2,0.4329,1.606
0.1,3,0.479,1.4603
0.1,4,0.5431,1.3153
0.1,5,0.582,1.2039
0.1,6,0.6006,1.1443
0.1,7,0.6305,1.065
0.1,8,0.6464,1.0204
0.1,9,0.6672,0.9673
0.1,10,0.6801,0.92829
0.1,11,0.6929,0.90119
0.1,12,0.7007,0.8791
0.1,13,0.7113,0.85175
0.1,14,0.7139,0.84116
0.1,15,0.7206,0.82506
0.01,0,0.1032,2.3087
0.01,1,0.3349,1.9093
0.01,2,0.3879,1.7327
0.01,3,0.4243,1.6237
0.01,4,0.4474,1.5408
0.01,5,0.4695,1.4754
0.01,6,0.4903,1.4228
0.01,7,0.5078,1.3816
0.01,8,0.5217,1.3442
0.01,9,0.5358,1.3106
0.01,10,0.5523,1.2756
0.01,11,0.567,1.2439
0.01,12,0.5792,1.2139
0.01,13,0.588,1.1856
0.01,14,0.5999,1.1566
0.01,15,0.6094,1.1318
0.001,0,0.1032,2.3087
0.001,1,0.2175,2.2447
0.001,2,0.252,2.1836
0.001,3,0.2719,2.119
0.001,4,0.2859,2.0601
0.001,5,0.2998,2.0108
0.001,6,0.3153,1.9693
0.001,7,0.3281,1.9325
0.001,8,0.3391,1.8989
0.001,9,0.3491,1.8675
0.001,10,0.358,1.8381
0.001,11,0.364,1.8112
0.001,12,0.3711,1.7866
0.001,13,0.3768,1.7641
0.001,14,0.3831,1.7435
0.001,15,0.3888,1.7245
