id,round,accuracy,loss
-1,0,0.083,1.8322
-1,1,0.387,1.6716
-1,2,0.36,1.5972
-1,3,0.3475,1.5683
-1,4,0.3475,1.5583
-1,5,0.3475,1.553
-1,6,0.3485,1.5503
-1,7,0.3475,1.5479
-1,8,0.3525,1.5462
-1,9,0.364,1.5445
-1,10,0.36,1.5426
-1,11,0.358,1.5411
-1,12,0.383,1.5397
-1,13,0.392,1.538
-1,14,0.376,1.5362
-1,15,0.3865,1.5347
0,0,0.083,1.8322
0,1,0.462,1.5254
0,2,0.4915,1.4827
0,3,0.491,1.442
0,4,0.496,1.4049
0,5,0.4965,1.374
0,6,0.499,1.3513
0,7,0.502,1.3291
0,8,0.508,1.3115
0,9,0.5055,1.2974
0,10,0.5105,1.2852
0,11,0.5125,1.2749
0,12,0.5145,1.2631
0,13,0.523,1.2553
0,14,0.524,1.247
0,15,0.5315,1.2407
1,0,0.083,1.8322
1,1,0.561,1.1382
1,2,0.711,0.80482
1,3,0.754,0.67625
1,4,0.788,0.61087
1,5,0.804,0.56787
1,6,0.813,0.52696
1,7,0.827,0.49044
1,8,0.837,0.46398
1,9,0.8395,0.45162
1,10,0.846,0.43171
1,11,0.8615,0.41463
1,12,0.863,0.40362
1,13,0.8655,0.39315
1,14,0.8695,0.38517
1,15,0.873,0.37614
2,0,0.083,1.8322
2,1,0.6985,0.88125
2,2,0.7705,0.64206
2,3,0.8165,0.52525
2,4,0.838,0.45804
2,5,0.859,0.40374
2,6,0.873,0.36608
2,7,0.8815,0.34059
2,8,0.8815,0.32419
2,9,0.888,0.32995
2,10,0.884,0.3257
2,11,0.885,0.31772
2,12,0.887,0.30829
2,13,0.8855,0.30931
2,14,0.8885,0.30763
2,15,0.89,0.30093
3,0,0.083,1.8322
3,1,0.73,0.80224
3,2,0.812,0.54339
3,3,0.8505,0.42912
3,4,0.87,0.3806
3,5,0.883,0.3438
3,6,0.8925,0.32092
3,7,0.8845,0.3094
3,8,0.89,0.30897
3,9,0.8915,0.30819
3,10,0.891,0.3042
3,11,0.896,0.28579
3,12,0.9,0.29666
3,13,0.893,0.29612
3,14,0.895,0.30017
3,15,0.897,0.30508
4,0,0.083,1.8322
4,1,0.7525,0.75688
4,2,0.8485,0.46417
4,3,0.8725,0.36658
4,4,0.8865,0.32493
4,5,0.8935,0.30349
4,6,0.896,0.28816
4,7,0.897,0.28163
4,8,0.8975,0.27704
4,9,0.897,0.28415
4,10,0.9005,0.2764
4,11,0.898,0.26261
4,12,0.902,0.29342
4,13,0.902,0.29383
4,14,0.8965,0.28156
4,15,0.8985,0.2843
5,0,0.083,1.8322
5,1,0.7675,0.71359
5,2,0.8685,0.40462
5,3,0.885,0.33143
5,4,0.893,0.31
5,5,0.897,0.28093
5,6,0.8965,0.27149
5,7,0.9025,0.25584
5,8,0.9,0.26125
5,9,0.894,0.26776
5,10,0.902,0.25983
5,11,0.897,0.24067
5,12,0.9025,0.26967
5,13,0.9035,0.26829
5,14,0.898,0.26629
5,15,0.902,0.28495
