id,round,accuracy,loss
0.0000001,0,0.083,1.8322
0.0000001,1,0.0865,1.8298
0.0000001,2,0.0885,1.8275
0.0000001,3,0.089,1.8252
0.0000001,4,0.093,1.823
0.0000001,5,0.0955,1.8207
0.0000001,6,0.098,1.8184
0.0000001,7,0.1015,1.8161
0.0000001,8,0.1025,1.8138
0.0000001,9,0.1055,1.8115
0.0000001,10,0.1075,1.8093
0.0000001,11,0.111,1.807
0.0000001,12,0.114,1.8047
0.0000001,13,0.1155,1.8025
0.0000001,14,0.119,1.8002
0.0000001,15,0.1215,1.798
0.000001,0,0.083,1.8322
0.000001,1,0.1075,1.8092
0.000001,2,0.1545,1.7871
0.000001,3,0.2925,1.7651
0.000001,4,0.4015,1.7439
0.000001,5,0.4245,1.7228
0.000001,6,0.4245,1.7025
0.000001,7,0.4075,1.6833
0.000001,8,0.404,1.6654
0.000001,9,0.401,1.6487
0.000001,10,0.3945,1.6332
0.000001,11,0.392,1.6193
0.000001,12,0.397,1.607
0.000001,13,0.401,1.5957
0.000001,14,0.402,1.5856
0.000001,15,0.408,1.5768
0.00001,0,0.083,1.8322
0.00001,1,0.365,1.6306
0.00001,2,0.465,1.544
0.00001,3,0.4925,1.5008
0.00001,4,0.506,1.448
0.00001,5,0.514,1.3795
0.00001,6,0.5295,1.3038
0.00001,7,0.541,1.2305
0.00001,8,0.554,1.1655
0.00001,9,0.5775,1.1076
0.00001,10,0.617,1.0533
0.00001,11,0.644,1.0055
0.00001,12,0.662,0.9613
0.00001,13,0.6775,0.92175
0.00001,14,0.6825,0.88768
0.00001,15,0.6985,0.85637
0.0001,0,0.083,1.8322
0.0001,1,0.561,1.1382
0.0001,2,0.711,0.80482
0.0001,3,0.754,0.67625
0.0001,4,0.788,0.61087
0.0001,5,0.804,0.56787
0.0001,6,0.813,0.52696
0.0001,7,0.827,0.49044
0.0001,8,0.837,0.46398
0.0001,9,0.8395,0.45162
0.0001,10,0.846,0.43171
0.0001,11,0.8615,0.41463
0.0001,12,0.863,0.40362
0.0001,13,0.8655,0.39315
0.0001,14,0.8695,0.38517
0.0001,15,0.873,0.37614
0.001,0,0.083,1.8322
0.001,1,0.7135,0.90125
0.001,2,0.7955,0.57362
0.001,3,0.8215,0.5107
0.001,4,0.8365,0.46467
0.001,5,0.848,0.43797
0.001,6,0.855,0.41164
0.001,7,0.858,0.39999
0.001,8,0.8645,0.3831
0.001,9,0.8685,0.37462
0.001,10,0.8715,0.35606
0.001,11,0.877,0.34706
0.001,12,0.8775,0.33674
0.001,13,0.882,0.337
0.001,14,0.8795,0.33649
0.001,15,0.8795,0.33902
0.01,0,0.083,1.8322
0.01,1,0.3475,1.7587
0.01,2,0.3475,1.6126
0.01,3,0.3475,1.5707
0.01,4,0.3475,1.5623
0.01,5,0.3475,1.5595
0.01,6,0.3475,1.5592
0.01,7,0.3475,1.5587
0.01,8,0.3475,1.5588
0.01,9,0.3475,1.5588
0.01,10,0.3475,1.5584
0.01,11,0.3475,1.5587
0.01,12,0.3475,1.559
0.01,13,0.3475,1.5586
0.01,14,0.3475,1.5583
0.01,15,0.3475,1.5585
0.1,0,0.083,1.8322
0.1,1,0.3475,1.5587
0.1,2,0.3475,1.5598
0.1,3,0.3475,1.5608
0.1,4,0.3475,1.5592
0.1,5,0.3475,1.5581
0.1,6,0.3475,1.5606
0.1,7,0.3475,1.5587
0.1,8,0.3475,1.5585
0.1,9,0.3475,1.559
0.1,10,0.3475,1.5588
0.1,11,0.3475,1.5603
0.1,12,0.3475,1.5582
0.1,13,0.3475,1.5588
0.1,14,0.3475,1.5583
0.1,15,0.3475,1.5607
