id,round,accuracy,loss
-1,0,0.034868,2.0986
-1,1,0.37684,1.8687
-1,2,0.37729,1.7105
-1,3,0.37729,1.6101
-1,4,0.37729,1.5529
-1,5,0.37729,1.5183
-1,6,0.37729,1.4963
-1,7,0.37729,1.4813
-1,8,0.37729,1.471
-1,9,0.37729,1.463
-1,10,0.38087,1.4567
-1,11,0.384,1.4508
-1,12,0.38131,1.4455
-1,13,0.39473,1.4413
-1,14,0.40367,1.437
-1,15,0.40858,1.4328
0,0,0.034868,2.0986
0,1,0.38802,1.458
0,2,0.50201,1.3658
0,3,0.54359,1.2972
0,4,0.56325,1.2456
0,5,0.58695,1.2053
0,6,0.5865,1.1698
0,7,0.59097,1.1441
0,8,0.60036,1.1233
0,9,0.59812,1.1062
0,10,0.60617,1.09
0,11,0.60796,1.0785
0,12,0.61198,1.0674
0,13,0.61556,1.0569
0,14,0.61377,1.0477
0,15,0.61511,1.0417
1,0,0.034868,2.0986
1,1,0.59902,1.1584
1,2,0.64148,0.96989
1,3,0.65713,0.90635
1,4,0.66473,0.87667
1,5,0.67278,0.87821
1,6,0.6768,0.85616
1,7,0.67591,0.85691
1,8,0.68261,0.85464
1,9,0.6844,0.84989
1,10,0.6844,0.84324
1,11,0.68574,0.84296
1,12,0.68485,0.84702
1,13,0.68261,0.84494
1,14,0.68708,0.85051
1,15,0.6835,0.84418
2,0,0.034868,2.0986
2,1,0.61869,1.0175
2,2,0.66473,0.91227
2,3,0.67054,0.87338
2,4,0.68261,0.85475
2,5,0.68485,0.86777
2,6,0.6844,0.85618
2,7,0.68619,0.86539
2,8,0.68842,0.87683
2,9,0.68932,0.86618
2,10,0.68887,0.88393
2,11,0.68887,0.88544
2,12,0.68127,0.90646
2,13,0.6844,0.91338
2,14,0.68395,0.94381
2,15,0.68261,0.94053
3,0,0.034868,2.0986
3,1,0.62181,1.0056
3,2,0.66294,0.91986
3,3,0.67367,0.8772
3,4,0.68485,0.86196
3,5,0.6835,0.88382
3,6,0.68708,0.86962
3,7,0.68976,0.87864
3,8,0.68887,0.90606
3,9,0.69155,0.90424
3,10,0.68529,0.92142
3,11,0.6835,0.94168
3,12,0.68395,0.96583
3,13,0.69021,0.99716
3,14,0.68842,1.019
3,15,0.68976,1.0237
4,0,0.034868,2.0986
4,1,0.61958,1.0135
4,2,0.66696,0.9255
4,3,0.67099,0.89678
4,4,0.68753,0.87353
4,5,0.67725,0.90456
4,6,0.68261,0.89387
4,7,0.68574,0.89992
4,8,0.68172,0.9434
4,9,0.68395,0.95296
4,10,0.68306,0.96488
4,11,0.67993,0.98421
4,12,0.6835,1.0042
4,13,0.68082,1.0641
4,14,0.67993,1.078
4,15,0.67412,1.0815
5,0,0.034868,2.0986
5,1,0.62137,1.0251
5,2,0.66473,0.93253
5,3,0.67412,0.91227
5,4,0.6844,0.88624
5,5,0.67367,0.93172
5,6,0.68485,0.90715
5,7,0.68395,0.92535
5,8,0.6768,0.97919
5,9,0.67903,0.98324
5,10,0.67725,1.0147
5,11,0.67903,1.0209
5,12,0.67814,1.0858
5,13,0.67859,1.0877
5,14,0.6844,1.1195
5,15,0.68216,1.1479
