id,round,value
cos_aggregate,1,0.0
cos_aggregate,2,0.0
cos_aggregate,3,0.80119
cos_aggregate,4,0.82617
cos_aggregate,5,0.71919
cos_aggregate,6,0.69094
cos_aggregate,7,0.4304
cos_aggregate,8,0.27102
cos_aggregate,9,0.66024
cos_aggregate,10,0.72595
cos_aggregate,11,0.61792
cos_aggregate,12,0.63705
cos_aggregate,13,0.63438
cos_aggregate,14,0.42306
cos_aggregate,15,0.48115
cos_aggregate,16,0.32925
cos_aggregate,17,0.24252
cos_aggregate,18,0.31175
cos_aggregate,19,0.32069
cos_aggregate,20,0.37219
cos_aggregate,21,0.083721
cos_aggregate,22,-0.27186
cos_aggregate,23,-0.11187
cos_aggregate,24,0.059327
cos_aggregate,25,0.22909
cos_aggregate,26,0.36929
cos_aggregate,27,0.52561
cos_aggregate,28,0.55679
cos_aggregate,29,0.48383
cos_aggregate,30,0.35405
cos_10463923024721803531,1,1.0
cos_10463923024721803531,2,0.20483
cos_10463923024721803531,3,0.49915
cos_10463923024721803531,4,0.37631
cos_10463923024721803531,5,0.34781
cos_10463923024721803531,6,0.44352
cos_10463923024721803531,7,0.40632
cos_10463923024721803531,8,0.31985
cos_10463923024721803531,9,0.49793
cos_10463923024721803531,10,0.42193
cos_10463923024721803531,11,0.45087
cos_10463923024721803531,12,0.38747
cos_10463923024721803531,13,0.543
cos_10463923024721803531,14,0.55585
cos_10463923024721803531,15,0.43057
cos_10463923024721803531,16,0.19589
cos_10463923024721803531,17,0.22731
cos_10463923024721803531,18,0.32491
cos_10463923024721803531,19,0.4554
cos_10463923024721803531,20,0.41007
cos_10463923024721803531,21,0.14659
cos_10463923024721803531,22,-0.076572
cos_10463923024721803531,23,0.33043
cos_10463923024721803531,24,0.45677
cos_10463923024721803531,25,0.4936
cos_10463923024721803531,26,0.56151
cos_10463923024721803531,27,0.55244
cos_10463923024721803531,28,0.58298
cos_10463923024721803531,29,0.56018
cos_10463923024721803531,30,0.5781
cos_14839619710693876174,1,1.0
cos_14839619710693876174,2,0.32254
cos_14839619710693876174,3,0.62818
cos_14839619710693876174,4,0.52313
cos_14839619710693876174,5,0.48781
cos_14839619710693876174,6,0.40279
cos_14839619710693876174,7,0.43713
cos_14839619710693876174,8,0.3684
cos_14839619710693876174,9,0.29603
cos_14839619710693876174,10,0.51066
cos_14839619710693876174,11,0.48823
cos_14839619710693876174,12,0.37725
cos_14839619710693876174,13,0.32787
cos_14839619710693876174,14,0.51465
cos_14839619710693876174,15,0.45239
cos_14839619710693876174,16,0.37309
cos_14839619710693876174,17,0.31785
cos_14839619710693876174,18,0.36876
cos_14839619710693876174,19,0.49162
cos_14839619710693876174,20,0.24861
cos_14839619710693876174,21,0.31752
cos_14839619710693876174,22,0.083703
cos_14839619710693876174,23,0.53575
cos_14839619710693876174,24,0.65622
cos_14839619710693876174,25,0.78964
cos_14839619710693876174,26,0.73739
cos_14839619710693876174,27,0.78414
cos_14839619710693876174,28,0.75218
cos_14839619710693876174,29,0.72029
cos_14839619710693876174,30,0.65672
cos_15652583628577597291,1,1.0
