id,round,value
dispersion_mean,1,-0.10786
dispersion_mean,2,0.41744
dispersion_mean,3,0.31263
dispersion_mean,4,0.24239
dispersion_mean,5,0.18584
dispersion_mean,6,0.20237
dispersion_mean,7,0.22233
dispersion_mean,8,0.14728
dispersion_mean,9,0.15457
dispersion_mean,10,0.1183
dispersion_mean,11,0.11508
dispersion_mean,12,0.10672
dispersion_mean,13,0.1001
dispersion_mean,14,0.060517
dispersion_mean,15,0.069196
dispersion_mean,16,0.057289
dispersion_mean,17,0.060261
dispersion_mean,18,0.046491
dispersion_mean,19,0.029336
dispersion_mean,20,0.01546
dispersion_mean,21,0.2004
dispersion_mean,22,0.35652
dispersion_mean,23,0.061727
dispersion_mean,24,0.13285
dispersion_mean,25,0.0055814
dispersion_mean,26,0.024669
dispersion_mean,27,-0.016339
dispersion_mean,28,0.0080996
dispersion_mean,29,-0.01551
dispersion_mean,30,0.018099
dispersion_median,1,-0.15917
dispersion_median,2,0.41928
dispersion_median,3,0.30597
dispersion_median,4,0.2354
dispersion_median,5,0.18632
dispersion_median,6,0.18047
dispersion_median,7,0.23627
dispersion_median,8,0.1562
dispersion_median,9,0.15944
dispersion_median,10,0.12098
dispersion_median,11,0.10931
dispersion_median,12,0.10983
dispersion_median,13,0.11022
dispersion_median,14,0.040649
dispersion_median,15,0.067168
dispersion_median,16,0.056086
dispersion_median,17,0.061849
dispersion_median,18,0.04979
dispersion_median,19,0.024655
dispersion_median,20,0.011016
dispersion_median,21,0.032593
dispersion_median,22,0.19139
dispersion_median,23,-0.26726
dispersion_median,24,-0.13428
dispersion_median,25,-0.31682
dispersion_median,26,-0.35577
dispersion_median,27,-0.27602
dispersion_median,28,-0.30961
dispersion_median,29,-0.38652
dispersion_median,30,-0.34777
