id,round,value
norm_aggregate,1,0.0
norm_aggregate,2,0.18449
norm_aggregate,3,0.15827
norm_aggregate,4,0.14577
norm_aggregate,5,0.13846
norm_aggregate,6,0.14615
norm_aggregate,7,0.16811
norm_aggregate,8,0.1337
norm_aggregate,9,0.14669
norm_aggregate,10,0.13333
norm_aggregate,11,0.13235
norm_aggregate,12,0.14004
norm_aggregate,13,0.13703
norm_aggregate,14,0.12808
norm_aggregate,15,0.129
norm_aggregate,16,0.13337
norm_aggregate,17,0.13004
norm_aggregate,18,0.11936
norm_aggregate,19,0.12892
norm_aggregate,20,0.11672
norm_aggregate,21,0.99479
norm_aggregate,22,0.52368
norm_aggregate,23,0.38899
norm_aggregate,24,0.26593
norm_aggregate,25,0.20572
norm_aggregate,26,0.19804
norm_aggregate,27,0.17223
norm_aggregate,28,0.16568
norm_aggregate,29,0.17393
norm_aggregate,30,0.18024
norm_10463923024721803531,1,0.29869
norm_10463923024721803531,2,0.27321
norm_10463923024721803531,3,0.21986
norm_10463923024721803531,4,0.22149
norm_10463923024721803531,5,0.24052
norm_10463923024721803531,6,0.28168
norm_10463923024721803531,7,0.38591
norm_10463923024721803531,8,0.2972
norm_10463923024721803531,9,0.27599
norm_10463923024721803531,10,0.23936
norm_10463923024721803531,11,0.32776
norm_10463923024721803531,12,0.3639
norm_10463923024721803531,13,0.37337
norm_10463923024721803531,14,0.37717
norm_10463923024721803531,15,0.35396
norm_10463923024721803531,16,0.33542
norm_10463923024721803531,17,0.35437
norm_10463923024721803531,18,0.39615
norm_10463923024721803531,19,0.34131
norm_10463923024721803531,20,0.39618
norm_10463923024721803531,21,2.1976
norm_10463923024721803531,22,0.56944
norm_10463923024721803531,23,0.91665
norm_10463923024721803531,24,0.50609
norm_10463923024721803531,25,0.72912
norm_10463923024721803531,26,0.60679
norm_10463923024721803531,27,0.60454
norm_10463923024721803531,28,0.54674
norm_10463923024721803531,29,0.68176
norm_10463923024721803531,30,0.60155
norm_14839619710693876174,1,0.34913
norm_14839619710693876174,2,0.29874
norm_14839619710693876174,3,0.26774
norm_14839619710693876174,4,0.25525
norm_14839619710693876174,5,0.35041
norm_14839619710693876174,6,0.24387
norm_14839619710693876174,7,0.29392
norm_14839619710693876174,8,0.25369
norm_14839619710693876174,9,0.33775
norm_14839619710693876174,10,0.36031
norm_14839619710693876174,11,0.29962
norm_14839619710693876174,12,0.3791
norm_14839619710693876174,13,0.34815
norm_14839619710693876174,14,0.33521
norm_14839619710693876174,15,0.34108
norm_14839619710693876174,16,0.3139
norm_14839619710693876174,17,0.36459
norm_14839619710693876174,18,0.34194
norm_14839619710693876174,19,0.3589
norm_14839619710693876174,20,0.34736
norm_14839619710693876174,21,0.32042
norm_14839619710693876174,22,0.92986
norm_14839619710693876174,23,0.36101
norm_14839619710693876174,24,0.59752
norm_14839619710693876174,25,0.43399
norm_14839619710693876174,26,0.50646
norm_14839619710693876174,27,0.51466
norm_14839619710693876174,28,0.52874
norm_14839619710693876174,29,0.40806
norm_14839619710693876174,30,0.57164
norm_15652583628577597291,1,0.28949
norm_15652583628577597291,2,0.22318
norm_15652583628577597291,3,0.19887
norm_15652583628577597291,4,0.19528
norm_15652583628577597291,5,0.23254
norm_15652583628577597291,6,0.25679
norm_15652583628577597291,7,0.29147
norm_15652583628577597291,8,0.2337
norm_15652583628577597291,9,0.25329
norm_15652583628577597291,10,0.31417
norm_15652583628577597291,11,0.25742
norm_15652583628577597291,12,0.2116
norm_15652583628577597291,13,0.26786
norm_15652583628577597291,14,0.28583
norm_15652583628577597291,15,0.29051
norm_15652583628577597291,16,0.21459
norm_15652583628577597291,17,0.26607
norm_15652583628577597291,18,0.2579
norm_15652583628577597291,19,0.33107
norm_15652583628577597291,20,0.30548
norm_15652583628577597291,21,0.30878
norm_15652583628577597291,22,0.78273
norm_15652583628577597291,23,0.27798
norm_15652583628577597291,24,0.51925
norm_15652583628577597291,25,0.37519
norm_15652583628577597291,26,0.36188
norm_15652583628577597291,27,0.38862
norm_15652583628577597291,28,0.43156
norm_15652583628577597291,29,0.42366
norm_15652583628577597291,30,0.49524
norm_16118366703533050738,1,0.28092
norm_16118366703533050738,2,0.2287
norm_16118366703533050738,3,0.33446
norm_16118366703533050738,4,0.28745
norm_16118366703533050738,5,0.28211
