id,round,value
cos_aggregate,1,0.0
cos_aggregate,2,0.0
cos_aggregate,3,0.96798
cos_aggregate,4,0.82409
cos_aggregate,5,0.952
cos_aggregate,6,0.71268
cos_aggregate,7,0.68303
cos_aggregate,8,0.47919
cos_aggregate,9,0.48048
cos_aggregate,10,0.79135
cos_aggregate,11,0.92805
cos_aggregate,12,0.8999
cos_aggregate,13,0.91939
cos_aggregate,14,0.89575
cos_aggregate,15,0.86882
cos_aggregate,16,0.82466
cos_aggregate,17,0.85984
cos_aggregate,18,0.77994
cos_aggregate,19,0.34
cos_aggregate,20,0.52623
cos_aggregate,21,-0.3904
cos_aggregate,22,0.74139
cos_aggregate,23,0.97808
cos_aggregate,24,0.92875
cos_aggregate,25,0.59491
cos_aggregate,26,0.27347
cos_aggregate,27,0.28958
cos_aggregate,28,0.63272
cos_aggregate,29,0.76421
cos_aggregate,30,0.63647
cos_11522228026226361751,1,1.0
cos_11522228026226361751,2,-0.38295
cos_11522228026226361751,3,0.94903
cos_11522228026226361751,4,0.47066
cos_11522228026226361751,5,0.74718
cos_11522228026226361751,6,0.71143
cos_11522228026226361751,7,0.75586
cos_11522228026226361751,8,0.55913
cos_11522228026226361751,9,0.416
cos_11522228026226361751,10,0.51972
cos_11522228026226361751,11,0.57686
cos_11522228026226361751,12,0.60699
cos_11522228026226361751,13,0.47018
cos_11522228026226361751,14,0.63104
cos_11522228026226361751,15,0.59016
cos_11522228026226361751,16,0.64447
cos_11522228026226361751,17,0.2674
cos_11522228026226361751,18,0.54916
cos_11522228026226361751,19,0.3664
cos_11522228026226361751,20,0.71042
cos_11522228026226361751,21,0.23748
cos_11522228026226361751,22,0.94325
cos_11522228026226361751,23,0.96677
cos_11522228026226361751,24,0.93247
cos_11522228026226361751,25,0.92035
cos_11522228026226361751,26,0.9294
cos_11522228026226361751,27,0.93108
cos_11522228026226361751,28,0.91156
cos_11522228026226361751,29,0.91439
cos_11522228026226361751,30,0.93305
cos_12601184442703567977,1,1.0
cos_12601184442703567977,2,0.011237
cos_12601184442703567977,3,0.95348
cos_12601184442703567977,4,0.88778
cos_12601184442703567977,5,0.87279
cos_12601184442703567977,6,0.65073
cos_12601184442703567977,7,0.74056
cos_12601184442703567977,8,0.43016
cos_12601184442703567977,9,0.1764
cos_12601184442703567977,10,0.75571
cos_12601184442703567977,11,0.74174
cos_12601184442703567977,12,0.70799
cos_12601184442703567977,13,0.75654
cos_12601184442703567977,14,0.5474
cos_12601184442703567977,15,0.54872
cos_12601184442703567977,16,0.52814
cos_12601184442703567977,17,0.62443
cos_12601184442703567977,18,0.45917
cos_12601184442703567977,19,0.25112
cos_12601184442703567977,20,0.71289
cos_12601184442703567977,21,0.40421
cos_12601184442703567977,22,0.15985
cos_12601184442703567977,23,0.94741
cos_12601184442703567977,24,0.91744
cos_12601184442703567977,25,0.97929
cos_12601184442703567977,26,0.93677
cos_12601184442703567977,27,0.9396
cos_12601184442703567977,28,0.973
cos_12601184442703567977,29,0.98189
cos_12601184442703567977,30,0.97248
cos_15281766516681896907,1,1.0
cos_15281766516681896907,2,0.066365
