id,round,value
dispersion_mean,1,-0.10992
dispersion_mean,2,0.98026
dispersion_mean,3,0.94603
dispersion_mean,4,0.62797
dispersion_mean,5,0.56885
dispersion_mean,6,0.59924
dispersion_mean,7,0.50623
dispersion_mean,8,0.53497
dispersion_mean,9,0.39456
dispersion_mean,10,0.38679
dispersion_mean,11,0.31225
dispersion_mean,12,0.28724
dispersion_mean,13,0.37474
dispersion_mean,14,0.28363
dispersion_mean,15,0.3464
dispersion_mean,16,0.20737
dispersion_mean,17,0.27385
dispersion_mean,18,0.2884
dispersion_mean,19,0.28919
dispersion_mean,20,0.20861
dispersion_mean,21,0.11815
dispersion_mean,22,0.21616
dispersion_mean,23,0.053749
dispersion_mean,24,-0.053064
dispersion_mean,25,-0.048962
dispersion_mean,26,-0.06775
dispersion_mean,27,-0.064715
dispersion_mean,28,-0.078691
dispersion_mean,29,-0.074518
dispersion_mean,30,-0.06897
dispersion_median,1,-0.096602
dispersion_median,2,0.98114
dispersion_median,3,0.93814
dispersion_median,4,0.78272
dispersion_median,5,0.69021
dispersion_median,6,0.60979
dispersion_median,7,0.63408
dispersion_median,8,0.55555
dispersion_median,9,0.38337
dispersion_median,10,0.49349
dispersion_median,11,0.42624
dispersion_median,12,0.37646
dispersion_median,13,0.45167
dispersion_median,14,0.34989
dispersion_median,15,0.40366
dispersion_median,16,0.16353
dispersion_median,17,0.30896
dispersion_median,18,0.33179
dispersion_median,19,0.21258
dispersion_median,20,0.31429
dispersion_median,21,-0.074397
dispersion_median,22,-0.21866
dispersion_median,23,-0.57914
dispersion_median,24,-0.75023
dispersion_median,25,-0.77176
dispersion_median,26,-0.80482
dispersion_median,27,-0.78282
dispersion_median,28,-0.83525
dispersion_median,29,-0.85635
dispersion_median,30,-0.78967
