id,round,value
norm_11256517919679939506,1,0.075734
norm_11256517919679939506,2,0.19985
norm_11256517919679939506,3,0.13248
norm_11256517919679939506,4,0.047891
norm_11256517919679939506,5,0.042826
norm_11256517919679939506,6,0.056468
norm_11256517919679939506,7,0.039534
norm_11256517919679939506,8,0.066584
norm_11256517919679939506,9,0.034226
norm_11256517919679939506,10,0.045044
norm_11256517919679939506,11,0.062823
norm_11256517919679939506,12,0.05089
norm_11256517919679939506,13,0.038585
norm_11256517919679939506,14,0.045208
norm_11256517919679939506,15,0.039067
norm_11256517919679939506,16,0.048667
norm_11256517919679939506,17,0.038815
norm_11256517919679939506,18,0.053925
norm_11256517919679939506,19,0.032094
norm_11256517919679939506,20,0.045576
norm_11256517919679939506,21,0.035539
norm_11256517919679939506,22,0.17103
norm_11256517919679939506,23,0.1722
norm_11256517919679939506,24,0.15333
norm_11256517919679939506,25,0.1886
norm_11256517919679939506,26,0.13515
norm_11256517919679939506,27,0.21864
norm_11256517919679939506,28,0.15045
norm_11256517919679939506,29,0.17945
norm_11256517919679939506,30,0.15536
norm_12036590401615428839,1,0.08301
norm_12036590401615428839,2,0.33776
norm_12036590401615428839,3,0.20853
norm_12036590401615428839,4,0.065717
norm_12036590401615428839,5,0.045964
norm_12036590401615428839,6,0.058592
norm_12036590401615428839,7,0.066186
norm_12036590401615428839,8,0.045056
norm_12036590401615428839,9,0.065047
norm_12036590401615428839,10,0.047371
norm_12036590401615428839,11,0.042971
norm_12036590401615428839,12,0.043652
norm_12036590401615428839,13,0.052262
norm_12036590401615428839,14,0.030958
norm_12036590401615428839,15,0.054976
norm_12036590401615428839,16,0.05824
norm_12036590401615428839,17,0.071493
norm_12036590401615428839,18,0.041054
norm_12036590401615428839,19,0.05012
norm_12036590401615428839,20,0.061231
norm_12036590401615428839,21,0.54709
norm_12036590401615428839,22,0.42946
norm_12036590401615428839,23,0.2622
norm_12036590401615428839,24,0.31607
norm_12036590401615428839,25,0.18066
norm_12036590401615428839,26,0.29144
norm_12036590401615428839,27,0.20251
norm_12036590401615428839,28,0.23194
norm_12036590401615428839,29,0.19076
norm_12036590401615428839,30,0.20269
norm_12614848366189144184,1,0.091428
norm_12614848366189144184,2,0.21301
norm_12614848366189144184,3,0.23849
norm_12614848366189144184,4,0.063445
norm_12614848366189144184,5,0.059441
norm_12614848366189144184,6,0.050886
