id,round,value
cos_10623672051720077216,1,1.0
cos_10623672051720077216,2,-0.0021145
cos_10623672051720077216,3,0.0016871
cos_10623672051720077216,4,6.9228e-06
cos_10623672051720077216,5,-0.00051221
cos_10623672051720077216,6,0.001538
cos_10623672051720077216,7,-6.2392e-05
cos_10623672051720077216,8,0.00038259
cos_10623672051720077216,9,0.00077277
cos_10623672051720077216,10,0.0007937
cos_10623672051720077216,11,0.00044027
cos_10623672051720077216,12,-0.00066155
cos_10623672051720077216,13,-4.151e-05
cos_10623672051720077216,14,0.00036205
cos_10623672051720077216,15,-0.00069283
cos_10623672051720077216,16,0.0019627
cos_10623672051720077216,17,0.002466
cos_10623672051720077216,18,-0.00032884
cos_10623672051720077216,19,0.00088223
cos_10623672051720077216,20,-0.00031079
cos_10623672051720077216,21,0.0008322
cos_10623672051720077216,22,0.00088847
cos_10623672051720077216,23,0.0023059
cos_10623672051720077216,24,0.00027302
cos_10623672051720077216,25,0.0029155
cos_10623672051720077216,26,0.0026412
cos_10623672051720077216,27,0.0030681
cos_10623672051720077216,28,0.00047156
cos_10623672051720077216,29,-0.0011204
cos_10623672051720077216,30,-0.0013001
cos_12717780387353356191,1,1.0
cos_12717780387353356191,2,-0.00091215
cos_12717780387353356191,3,0.0011444
cos_12717780387353356191,4,0.00030742
cos_12717780387353356191,5,-0.00039318
cos_12717780387353356191,6,-0.0010976
cos_12717780387353356191,7,-0.00054283
cos_12717780387353356191,8,0.00097869
cos_12717780387353356191,9,-0.0002598
cos_12717780387353356191,10,0.0011637
cos_12717780387353356191,11,-0.00076847
cos_12717780387353356191,12,0.000832
cos_12717780387353356191,13,0.00026594
cos_12717780387353356191,14,-0.0021971
cos_12717780387353356191,15,-0.0015581
cos_12717780387353356191,16,-0.00059513
cos_12717780387353356191,17,0.00062988
cos_12717780387353356191,18,-0.0018658
cos_12717780387353356191,19,0.0016951
cos_12717780387353356191,20,0.00027446
cos_12717780387353356191,21,0.00061056
cos_12717780387353356191,22,0.00094649
cos_12717780387353356191,23,0.0014024
cos_12717780387353356191,24,-0.0001887
cos_12717780387353356191,25,0.0021063
cos_12717780387353356191,26,0.001328
cos_12717780387353356191,27,0.0019857
cos_12717780387353356191,28,-0.0005076
cos_12717780387353356191,29,-0.00087
cos_12717780387353356191,30,0.0014743
cos_13457343833511804505,1,1.0
cos_13457343833511804505,2,-0.0010632
cos_13457343833511804505,3,0.00038673
cos_13457343833511804505,4,0.0016645
cos_13457343833511804505,5,-0.00039204
cos_13457343833511804505,6,-0.0015871
cos_13457343833511804505,7,0.0015519
cos_13457343833511804505,8,-0.00081803
cos_13457343833511804505,9,-0.00062634
cos_13457343833511804505,10,-0.0015789
cos_13457343833511804505,11,-0.0026685
cos_13457343833511804505,12,-0.00088575
cos_13457343833511804505,13,0.0003069
cos_13457343833511804505,14,0.00046127
cos_13457343833511804505,15,0.0016845
cos_13457343833511804505,16,-0.00010788
cos_13457343833511804505,17,0.00036262
cos_13457343833511804505,18,1.2477e-05
cos_13457343833511804505,19,0.00096808
cos_13457343833511804505,20,-0.0016661
cos_13457343833511804505,21,-0.00032965
cos_13457343833511804505,22,0.0022144
cos_13457343833511804505,23,0.00074916
cos_13457343833511804505,24,0.0024876
cos_13457343833511804505,25,0.00081296
cos_13457343833511804505,26,0.00057302
cos_13457343833511804505,27,0.002283
cos_13457343833511804505,28,-0.00027991
cos_13457343833511804505,29,0.0020859
cos_13457343833511804505,30,0.00052943
cos_16616880391334226090,1,1.0
cos_16616880391334226090,2,0.001438
cos_16616880391334226090,3,0.00039904
cos_16616880391334226090,4,-0.0020032
cos_16616880391334226090,5,0.0026758
cos_16616880391334226090,6,-0.0018651
cos_16616880391334226090,7,-9.0602e-05
cos_16616880391334226090,8,-0.00046442
cos_16616880391334226090,9,-0.0023431
cos_16616880391334226090,10,0.001531
cos_16616880391334226090,11,0.0024092
cos_16616880391334226090,12,0.00031744
cos_16616880391334226090,13,-0.00074167
cos_16616880391334226090,14,0.0013735
cos_16616880391334226090,15,-0.00026421
cos_16616880391334226090,16,-0.0038873
cos_16616880391334226090,17,-0.00018777
cos_16616880391334226090,18,0.00089107
cos_16616880391334226090,19,-0.0035421
cos_16616880391334226090,20,0.00039752
cos_16616880391334226090,21,-0.00020843
cos_16616880391334226090,22,0.0024366
cos_16616880391334226090,23,0.0021744
cos_16616880391334226090,24,0.00030542
cos_16616880391334226090,25,0.0020664
cos_16616880391334226090,26,-0.0006462
cos_16616880391334226090,27,0.00038589
cos_16616880391334226090,28,0.0003267
cos_16616880391334226090,29,0.00027044
cos_16616880391334226090,30,0.0014904
cos_17486856831171361977,1,1.0
cos_17486856831171361977,2,0.00090514
cos_17486856831171361977,3,-0.0013575
cos_17486856831171361977,4,-0.00080824
cos_17486856831171361977,5,0.00087439
cos_17486856831171361977,6,-0.00066711
cos_17486856831171361977,7,0.0014306
cos_17486856831171361977,8,0.0001858
cos_17486856831171361977,9,0.002476
cos_17486856831171361977,10,0.00019853
cos_17486856831171361977,11,0.001097
cos_17486856831171361977,12,0.0023411
cos_17486856831171361977,13,-0.0014782
