id,round,value
dispersion_mean,1,-0.1111
dispersion_mean,2,8.5582e-05
dispersion_mean,3,0.00016621
dispersion_mean,4,-3.0369e-05
dispersion_mean,5,-0.00013387
dispersion_mean,6,0.00012189
dispersion_mean,7,0.00013734
dispersion_mean,8,5.8611e-05
dispersion_mean,9,0.00011204
dispersion_mean,10,2.0369e-05
dispersion_mean,11,0.00027271
dispersion_mean,12,0.00018999
dispersion_mean,13,0.00015032
dispersion_mean,14,-0.00030935
dispersion_mean,15,0.00021314
dispersion_mean,16,-0.0001086
dispersion_mean,17,-7.9599e-06
dispersion_mean,18,7.0039e-05
dispersion_mean,19,-0.00034798
dispersion_mean,20,-0.00016278
dispersion_mean,21,0.00056836
dispersion_mean,22,0.000836
dispersion_mean,23,-7.5809e-05
dispersion_mean,24,0.00031535
dispersion_mean,25,0.00016279
dispersion_mean,26,-0.00027209
dispersion_mean,27,-3.8446e-05
dispersion_mean,28,-0.00015846
dispersion_mean,29,-0.00015932
dispersion_mean,30,-0.00020421
dispersion_median,1,-0.11146
dispersion_median,2,0.00020503
dispersion_median,3,-1.3682e-05
dispersion_median,4,-3.1812e-06
dispersion_median,5,7.3823e-05
dispersion_median,6,0.00014291
dispersion_median,7,0.00021334
dispersion_median,8,-3.2404e-05
dispersion_median,9,8.1334e-05
dispersion_median,10,1.5713e-05
dispersion_median,11,0.00048771
dispersion_median,12,6.9685e-05
dispersion_median,13,0.00012347
dispersion_median,14,-0.00029777
dispersion_median,15,0.00040503
dispersion_median,16,-7.8271e-05
dispersion_median,17,4.8331e-05
dispersion_median,18,0.00035449
dispersion_median,19,-0.00016044
dispersion_median,20,-0.00020328
dispersion_median,21,0.00063463
dispersion_median,22,0.00073264
dispersion_median,23,-0.00014505
dispersion_median,24,0.00046208
dispersion_median,25,0.00021749
dispersion_median,26,-0.00044555
dispersion_median,27,4.7687e-05
dispersion_median,28,-0.00024205
dispersion_median,29,-0.0001621
dispersion_median,30,-0.00012027
