id,round,value
norm_10623672051720077216,1,5.0791
norm_10623672051720077216,2,5.3576
norm_10623672051720077216,3,5.3487
norm_10623672051720077216,4,5.3584
norm_10623672051720077216,5,5.3538
norm_10623672051720077216,6,5.3504
norm_10623672051720077216,7,5.3668
norm_10623672051720077216,8,5.3624
norm_10623672051720077216,9,5.3578
norm_10623672051720077216,10,5.3579
norm_10623672051720077216,11,5.3496
norm_10623672051720077216,12,5.3537
norm_10623672051720077216,13,5.3556
norm_10623672051720077216,14,5.3594
norm_10623672051720077216,15,5.3528
norm_10623672051720077216,16,5.363
norm_10623672051720077216,17,5.3566
norm_10623672051720077216,18,5.3684
norm_10623672051720077216,19,5.3628
norm_10623672051720077216,20,5.3617
norm_10623672051720077216,21,5.3517
norm_10623672051720077216,22,5.3547
norm_10623672051720077216,23,5.3532
norm_10623672051720077216,24,5.3532
norm_10623672051720077216,25,5.3534
norm_10623672051720077216,26,5.3578
norm_10623672051720077216,27,5.3611
norm_10623672051720077216,28,5.363
norm_10623672051720077216,29,5.3651
norm_10623672051720077216,30,5.3554
norm_12717780387353356191,1,5.0837
norm_12717780387353356191,2,5.3599
norm_12717780387353356191,3,5.3577
norm_12717780387353356191,4,5.3593
norm_12717780387353356191,5,5.3594
norm_12717780387353356191,6,5.3553
norm_12717780387353356191,7,5.3526
norm_12717780387353356191,8,5.3503
norm_12717780387353356191,9,5.3563
norm_12717780387353356191,10,5.3524
norm_12717780387353356191,11,5.3516
norm_12717780387353356191,12,5.3549
norm_12717780387353356191,13,5.3634
norm_12717780387353356191,14,5.3582
norm_12717780387353356191,15,5.3503
norm_12717780387353356191,16,5.3578
norm_12717780387353356191,17,5.3519
norm_12717780387353356191,18,5.3597
norm_12717780387353356191,19,5.3553
norm_12717780387353356191,20,5.36
norm_12717780387353356191,21,5.3601
norm_12717780387353356191,22,5.3611
norm_12717780387353356191,23,5.3456
norm_12717780387353356191,24,5.3576
norm_12717780387353356191,25,5.3551
norm_12717780387353356191,26,5.363
norm_12717780387353356191,27,5.3577
norm_12717780387353356191,28,5.3552
norm_12717780387353356191,29,5.3522
norm_12717780387353356191,30,5.3577
norm_13457343833511804505,1,5.0788
norm_13457343833511804505,2,5.36
norm_13457343833511804505,3,5.3562
norm_13457343833511804505,4,5.3533
norm_13457343833511804505,5,5.3599
norm_13457343833511804505,6,5.3553
norm_13457343833511804505,7,5.364
norm_13457343833511804505,8,5.3585
norm_13457343833511804505,9,5.3549
norm_13457343833511804505,10,5.3553
norm_13457343833511804505,11,5.3623
norm_13457343833511804505,12,5.3625
norm_13457343833511804505,13,5.3557
norm_13457343833511804505,14,5.3529
norm_13457343833511804505,15,5.3521
norm_13457343833511804505,16,5.3582
norm_13457343833511804505,17,5.3523
norm_13457343833511804505,18,5.3586
norm_13457343833511804505,19,5.3658
norm_13457343833511804505,20,5.3591
norm_13457343833511804505,21,5.3613
norm_13457343833511804505,22,5.355
norm_13457343833511804505,23,5.3698
norm_13457343833511804505,24,5.3602
norm_13457343833511804505,25,5.3631
norm_13457343833511804505,26,5.3549
norm_13457343833511804505,27,5.3593
norm_13457343833511804505,28,5.3621
norm_13457343833511804505,29,5.3569
norm_13457343833511804505,30,5.3615
norm_16616880391334226090,1,5.2601
norm_16616880391334226090,2,5.541
norm_16616880391334226090,3,5.5353
norm_16616880391334226090,4,5.5413
norm_16616880391334226090,5,5.5408
norm_16616880391334226090,6,5.5361
norm_16616880391334226090,7,5.5317
norm_16616880391334226090,8,5.5284
norm_16616880391334226090,9,5.5404
norm_16616880391334226090,10,5.5364
norm_16616880391334226090,11,5.5336
norm_16616880391334226090,12,5.5345
norm_16616880391334226090,13,5.5337
norm_16616880391334226090,14,5.53
norm_16616880391334226090,15,5.5358
norm_16616880391334226090,16,5.5449
norm_16616880391334226090,17,5.5336
norm_16616880391334226090,18,5.5385
norm_16616880391334226090,19,5.5348
norm_16616880391334226090,20,5.5427
norm_16616880391334226090,21,5.5427
norm_16616880391334226090,22,5.5423
norm_16616880391334226090,23,5.5398
norm_16616880391334226090,24,5.5333
norm_16616880391334226090,25,5.5385
norm_16616880391334226090,26,5.5412
norm_16616880391334226090,27,5.5365
norm_16616880391334226090,28,5.5367
norm_16616880391334226090,29,5.5388
norm_16616880391334226090,30,5.5394
norm_17486856831171361977,1,5.2492
norm_17486856831171361977,2,5.5354
norm_17486856831171361977,3,5.5344
norm_17486856831171361977,4,5.5316
norm_17486856831171361977,5,5.5374
norm_17486856831171361977,6,5.5346
norm_17486856831171361977,7,5.5359
norm_17486856831171361977,8,5.5341
norm_17486856831171361977,9,5.5496
norm_17486856831171361977,10,5.532
norm_17486856831171361977,11,5.5342
norm_17486856831171361977,12,5.5284
norm_17486856831171361977,13,5.5326
norm_17486856831171361977,14,5.5311
norm_17486856831171361977,15,5.5327
norm_17486856831171361977,16,5.5361
norm_17486856831171361977,17,5.5376
norm_17486856831171361977,18,5.5347
norm_17486856831171361977,19,5.5327
norm_17486856831171361977,20,5.544
norm_17486856831171361977,21,5.5417
norm_17486856831171361977,22,5.5358
norm_17486856831171361977,23,5.5383
norm_17486856831171361977,24,5.5365
norm_17486856831171361977,25,5.5428
norm_17486856831171361977,26,5.5426
norm_17486856831171361977,27,5.5408
norm_17486856831171361977,28,5.5389
norm_17486856831171361977,29,5.5375
norm_17486856831171361977,30,5.5373
norm_17960766058508661573,1,5.0854
norm_17960766058508661573,2,5.3623
norm_17960766058508661573,3,5.3576
norm_17960766058508661573,4,5.3647
norm_17960766058508661573,5,5.3579
norm_17960766058508661573,6,5.3601
norm_17960766058508661573,7,5.3576
norm_17960766058508661573,8,5.3602
norm_17960766058508661573,9,5.3515
norm_17960766058508661573,10,5.3554
norm_17960766058508661573,11,5.361
norm_17960766058508661573,12,5.3638
norm_17960766058508661573,13,5.358
norm_17960766058508661573,14,5.3574
norm_17960766058508661573,15,5.3628
norm_17960766058508661573,16,5.3608
norm_17960766058508661573,17,5.3623
norm_17960766058508661573,18,5.3541
norm_17960766058508661573,19,5.352
norm_17960766058508661573,20,5.3587
norm_17960766058508661573,21,5.3633
norm_17960766058508661573,22,5.3592
norm_17960766058508661573,23,5.3625
norm_17960766058508661573,24,5.3513
norm_17960766058508661573,25,5.361
norm_17960766058508661573,26,5.3546
norm_17960766058508661573,27,5.3569
norm_17960766058508661573,28,5.358
norm_17960766058508661573,29,5.3584
norm_17960766058508661573,30,5.3534
norm_4063565972801326645,1,5.0896
norm_4063565972801326645,2,5.3575
norm_4063565972801326645,3,5.3524
norm_4063565972801326645,4,5.3564
norm_4063565972801326645,5,5.3532
norm_4063565972801326645,6,5.3533
norm_4063565972801326645,7,5.3569
norm_4063565972801326645,8,5.3632
norm_4063565972801326645,9,5.3633
norm_4063565972801326645,10,5.3552
norm_4063565972801326645,11,5.3566
norm_4063565972801326645,12,5.3561
norm_4063565972801326645,13,5.356
norm_4063565972801326645,14,5.3527
norm_4063565972801326645,15,5.357
norm_4063565972801326645,16,5.3548
norm_4063565972801326645,17,5.3504
norm_4063565972801326645,18,5.3596
norm_4063565972801326645,19,5.3636
norm_4063565972801326645,20,5.3631
norm_4063565972801326645,21,5.359
norm_4063565972801326645,22,5.3635
norm_4063565972801326645,23,5.3568
norm_4063565972801326645,24,5.3567
norm_4063565972801326645,25,5.36
norm_4063565972801326645,26,5.3523
norm_4063565972801326645,27,5.3604
norm_4063565972801326645,28,5.3526
norm_4063565972801326645,29,5.3605
norm_4063565972801326645,30,5.3555
norm_6114800220184159855,1,5.0892
norm_6114800220184159855,2,5.358
norm_6114800220184159855,3,5.3519
norm_6114800220184159855,4,5.3554
norm_6114800220184159855,5,5.3595
norm_6114800220184159855,6,5.3606
norm_6114800220184159855,7,5.358
norm_6114800220184159855,8,5.3481
norm_6114800220184159855,9,5.3582
norm_6114800220184159855,10,5.3531
norm_6114800220184159855,11,5.3646
norm_6114800220184159855,12,5.3645
norm_6114800220184159855,13,5.358
norm_6114800220184159855,14,5.3599
norm_6114800220184159855,15,5.3653
norm_6114800220184159855,16,5.3622
norm_6114800220184159855,17,5.3679
norm_6114800220184159855,18,5.357
norm_6114800220184159855,19,5.356
norm_6114800220184159855,20,5.3609
norm_6114800220184159855,21,5.3632
norm_6114800220184159855,22,5.3536
norm_6114800220184159855,23,5.361
norm_6114800220184159855,24,5.3515
norm_6114800220184159855,25,5.3557
norm_6114800220184159855,26,5.354
norm_6114800220184159855,27,5.3629
norm_6114800220184159855,28,5.3549
norm_6114800220184159855,29,5.3647
