id,round,value
cos_10126536397770154006,1,1.0
cos_10126536397770154006,2,0.00080749
cos_10126536397770154006,3,-0.0016232
cos_10126536397770154006,4,-0.00088488
cos_10126536397770154006,5,0.00084695
cos_10126536397770154006,6,-0.00068863
cos_10126536397770154006,7,0.0014024
cos_10126536397770154006,8,0.00016567
cos_10126536397770154006,9,0.0024601
cos_10126536397770154006,10,0.00020519
cos_10126536397770154006,11,0.00109
cos_10126536397770154006,12,0.0023408
cos_10126536397770154006,13,-0.0014921
cos_10126536397770154006,14,-0.001076
cos_10126536397770154006,15,0.0010589
cos_10126536397770154006,16,-0.00084784
cos_10126536397770154006,17,-0.001173
cos_10126536397770154006,18,-0.00012676
cos_10126536397770154006,19,-0.0014528
cos_10126536397770154006,20,-0.00075
cos_10126536397770154006,21,0.00052319
cos_10126536397770154006,22,-5.3875e-05
cos_10126536397770154006,23,-0.00092044
cos_10126536397770154006,24,0.0014464
cos_10126536397770154006,25,0.0016331
cos_10126536397770154006,26,0.0017094
cos_10126536397770154006,27,-0.0014914
cos_10126536397770154006,28,-0.0013228
cos_10126536397770154006,29,-0.0015239
cos_10126536397770154006,30,0.002512
cos_12722815495070260089,1,1.0
cos_12722815495070260089,2,0.0013719
cos_12722815495070260089,3,0.00020625
cos_12722815495070260089,4,-0.0021016
cos_12722815495070260089,5,0.0026228
cos_12722815495070260089,6,-0.001888
cos_12722815495070260089,7,-0.00010344
cos_12722815495070260089,8,-0.00045752
cos_12722815495070260089,9,-0.0023293
cos_12722815495070260089,10,0.0015361
cos_12722815495070260089,11,0.0024103
cos_12722815495070260089,12,0.00030733
cos_12722815495070260089,13,-0.00074346
cos_12722815495070260089,14,0.0013729
cos_12722815495070260089,15,-0.0002693
cos_12722815495070260089,16,-0.0038968
cos_12722815495070260089,17,-0.00019164
cos_12722815495070260089,18,0.00088799
cos_12722815495070260089,19,-0.0035463
cos_12722815495070260089,20,0.00038915
cos_12722815495070260089,21,-0.00017071
cos_12722815495070260089,22,0.00040487
cos_12722815495070260089,23,0.00082508
cos_12722815495070260089,24,-0.00057668
cos_12722815495070260089,25,0.0015292
cos_12722815495070260089,26,-0.0011006
cos_12722815495070260089,27,-0.00012679
cos_12722815495070260089,28,-0.00017727
cos_12722815495070260089,29,-0.00022828
cos_12722815495070260089,30,0.00094659
cos_13511956891160910216,1,1.0
cos_13511956891160910216,2,8.8463e-05
cos_13511956891160910216,3,0.0013797
cos_13511956891160910216,4,0.00014131
cos_13511956891160910216,5,0.0023788
cos_13511956891160910216,6,-0.00068025
cos_13511956891160910216,7,0.00032935
cos_13511956891160910216,8,0.0010258
cos_13511956891160910216,9,-0.0023217
cos_13511956891160910216,10,0.0015091
cos_13511956891160910216,11,-0.0006482
cos_13511956891160910216,12,-0.00018719
cos_13511956891160910216,13,-0.00064566
cos_13511956891160910216,14,0.0016373
cos_13511956891160910216,15,0.0015426
cos_13511956891160910216,16,-0.00021368
cos_13511956891160910216,17,-0.0010587
cos_13511956891160910216,18,0.00071413
cos_13511956891160910216,19,-0.0016947
cos_13511956891160910216,20,-0.00050891
cos_13511956891160910216,21,0.00061664
cos_13511956891160910216,22,0.00024754
cos_13511956891160910216,23,0.00034327
cos_13511956891160910216,24,0.0019467
cos_13511956891160910216,25,0.00060308
cos_13511956891160910216,26,0.00051181
cos_13511956891160910216,27,-0.00027716
cos_13511956891160910216,28,-0.0014513
cos_13511956891160910216,29,-0.00066006
cos_13511956891160910216,30,0.00036615
cos_14767453015740607545,1,1.0
cos_14767453015740607545,2,-5.4987e-05
cos_14767453015740607545,3,-0.00028561
cos_14767453015740607545,4,0.0004825
cos_14767453015740607545,5,-0.0010907
cos_14767453015740607545,6,0.0016397
cos_14767453015740607545,7,-0.0022609
cos_14767453015740607545,8,0.0024429
cos_14767453015740607545,9,-0.00078464
cos_14767453015740607545,10,-0.00018038
cos_14767453015740607545,11,-0.00069037
cos_14767453015740607545,12,-0.0011367
cos_14767453015740607545,13,-0.001652
cos_14767453015740607545,14,0.0001241
cos_14767453015740607545,15,-0.0011678
cos_14767453015740607545,16,0.00080123
cos_14767453015740607545,17,-0.00077885
cos_14767453015740607545,18,0.00085935
cos_14767453015740607545,19,-0.003087
cos_14767453015740607545,20,-0.0013563
cos_14767453015740607545,21,-2.9695e-05
cos_14767453015740607545,22,-0.00013649
cos_14767453015740607545,23,-0.0005871
cos_14767453015740607545,24,-0.00056553
cos_14767453015740607545,25,-0.00010858
cos_14767453015740607545,26,-0.00023952
cos_14767453015740607545,27,-0.0010184
cos_14767453015740607545,28,0.00038839
cos_14767453015740607545,29,0.00098804
cos_14767453015740607545,30,-0.00019905
cos_15576514791559912685,1,1.0
cos_15576514791559912685,2,-0.0010246
cos_15576514791559912685,3,0.00079613
cos_15576514791559912685,4,0.00016522
cos_15576514791559912685,5,-0.00047509
cos_15576514791559912685,6,-0.0011077
cos_15576514791559912685,7,-0.00055811
cos_15576514791559912685,8,0.00095751
cos_15576514791559912685,9,-0.00028419
cos_15576514791559912685,10,0.0011191
