id,round,value
dispersion_mean,1,-0.1111
dispersion_mean,2,-0.00022215
dispersion_mean,3,4.9847e-05
dispersion_mean,4,-6.0141e-05
dispersion_mean,5,-0.00015565
dispersion_mean,6,0.00010684
dispersion_mean,7,0.0001236
dispersion_mean,8,4.8075e-05
dispersion_mean,9,0.00010219
dispersion_mean,10,1.3954e-05
dispersion_mean,11,0.00027013
dispersion_mean,12,0.00018369
dispersion_mean,13,0.00014564
dispersion_mean,14,-0.00031296
dispersion_mean,15,0.00020977
dispersion_mean,16,-0.00010994
dispersion_mean,17,-1.2772e-05
dispersion_mean,18,6.5283e-05
dispersion_mean,19,-0.0003556
dispersion_mean,20,-0.00016471
dispersion_mean,21,0.00010362
dispersion_mean,22,0.00058646
dispersion_mean,23,-0.00013854
dispersion_mean,24,0.00033435
dispersion_mean,25,0.00018368
dispersion_mean,26,-0.00025357
dispersion_mean,27,-8.5692e-06
dispersion_mean,28,-0.00012437
dispersion_mean,29,-0.00012459
dispersion_mean,30,-0.0001749
dispersion_median,1,-0.11147
dispersion_median,2,-0.00012491
dispersion_median,3,-0.00017005
dispersion_median,4,-2.8634e-05
dispersion_median,5,3.9886e-05
dispersion_median,6,0.00012327
dispersion_median,7,0.00020205
dispersion_median,8,-5.2233e-05
dispersion_median,9,5.7487e-05
dispersion_median,10,5.5819e-07
dispersion_median,11,0.00050706
dispersion_median,12,6.2441e-05
dispersion_median,13,0.00011173
dispersion_median,14,-0.00029592
dispersion_median,15,0.00040366
dispersion_median,16,-8.5948e-05
dispersion_median,17,5.0461e-05
dispersion_median,18,0.00035181
dispersion_median,19,-0.00016531
dispersion_median,20,-0.00021159
dispersion_median,21,2.7721e-05
dispersion_median,22,0.00050487
dispersion_median,23,-3.6982e-05
dispersion_median,24,0.00010848
dispersion_median,25,0.00026733
dispersion_median,26,-0.00039144
dispersion_median,27,4.5713e-05
dispersion_median,28,-0.00011738
dispersion_median,29,-0.00030777
dispersion_median,30,1.5015e-05
