id,round,value
norm_10126536397770154006,1,10.498
norm_10126536397770154006,2,11.067
norm_10126536397770154006,3,11.068
norm_10126536397770154006,4,11.063
norm_10126536397770154006,5,11.075
norm_10126536397770154006,6,11.069
norm_10126536397770154006,7,11.072
norm_10126536397770154006,8,11.068
norm_10126536397770154006,9,11.099
norm_10126536397770154006,10,11.064
norm_10126536397770154006,11,11.068
norm_10126536397770154006,12,11.057
norm_10126536397770154006,13,11.065
norm_10126536397770154006,14,11.062
norm_10126536397770154006,15,11.065
norm_10126536397770154006,16,11.072
norm_10126536397770154006,17,11.075
norm_10126536397770154006,18,11.069
norm_10126536397770154006,19,11.065
norm_10126536397770154006,20,11.088
norm_10126536397770154006,21,11.071
norm_10126536397770154006,22,11.061
norm_10126536397770154006,23,11.07
norm_10126536397770154006,24,11.066
norm_10126536397770154006,25,11.083
norm_10126536397770154006,26,11.08
norm_10126536397770154006,27,11.079
norm_10126536397770154006,28,11.074
norm_10126536397770154006,29,11.072
norm_10126536397770154006,30,11.072
norm_12722815495070260089,1,10.52
norm_12722815495070260089,2,11.081
norm_12722815495070260089,3,11.069
norm_12722815495070260089,4,11.082
norm_12722815495070260089,5,11.081
norm_12722815495070260089,6,11.072
norm_12722815495070260089,7,11.063
norm_12722815495070260089,8,11.057
norm_12722815495070260089,9,11.081
norm_12722815495070260089,10,11.073
norm_12722815495070260089,11,11.067
norm_12722815495070260089,12,11.069
norm_12722815495070260089,13,11.067
norm_12722815495070260089,14,11.06
norm_12722815495070260089,15,11.071
norm_12722815495070260089,16,11.09
norm_12722815495070260089,17,11.067
norm_12722815495070260089,18,11.077
norm_12722815495070260089,19,11.069
norm_12722815495070260089,20,11.085
norm_12722815495070260089,21,11.072
norm_12722815495070260089,22,11.074
norm_12722815495070260089,23,11.074
norm_12722815495070260089,24,11.062
norm_12722815495070260089,25,11.075
norm_12722815495070260089,26,11.079
norm_12722815495070260089,27,11.07
norm_12722815495070260089,28,11.07
norm_12722815495070260089,29,11.075
norm_12722815495070260089,30,11.075
norm_13511956891160910216,1,9.8722
norm_13511956891160910216,2,10.381
norm_13511956891160910216,3,10.369
norm_13511956891160910216,4,10.386
norm_13511956891160910216,5,10.382
norm_13511956891160910216,6,10.385
norm_13511956891160910216,7,10.386
norm_13511956891160910216,8,10.372
norm_13511956891160910216,9,10.379
norm_13511956891160910216,10,10.363
norm_13511956891160910216,11,10.387
norm_13511956891160910216,12,10.372
norm_13511956891160910216,13,10.383
norm_13511956891160910216,14,10.378
norm_13511956891160910216,15,10.372
norm_13511956891160910216,16,10.379
norm_13511956891160910216,17,10.372
norm_13511956891160910216,18,10.357
norm_13511956891160910216,19,10.384
norm_13511956891160910216,20,10.381
norm_13511956891160910216,21,10.371
norm_13511956891160910216,22,10.384
norm_13511956891160910216,23,10.385
norm_13511956891160910216,24,10.369
norm_13511956891160910216,25,10.37
norm_13511956891160910216,26,10.353
norm_13511956891160910216,27,10.384
norm_13511956891160910216,28,10.381
norm_13511956891160910216,29,10.374
norm_13511956891160910216,30,10.381
norm_14767453015740607545,1,10.179
norm_14767453015740607545,2,10.714
norm_14767453015740607545,3,10.704
norm_14767453015740607545,4,10.712
norm_14767453015740607545,5,10.706
norm_14767453015740607545,6,10.706
norm_14767453015740607545,7,10.714
norm_14767453015740607545,8,10.726
norm_14767453015740607545,9,10.727
norm_14767453015740607545,10,10.71
norm_14767453015740607545,11,10.713
norm_14767453015740607545,12,10.712
norm_14767453015740607545,13,10.712
norm_14767453015740607545,14,10.705
norm_14767453015740607545,15,10.714
