id,round,accuracy,loss
unmodified,0,0.15373,1.5942
unmodified,1,0.68168,1.5601
unmodified,2,0.68323,1.1379
unmodified,3,0.68789,0.94086
unmodified,4,0.6941,0.88396
unmodified,5,0.72516,0.77404
unmodified,6,0.75311,0.83886
unmodified,7,0.76398,0.70986
unmodified,8,0.78727,0.62811
unmodified,9,0.7795,0.64778
unmodified,10,0.78261,0.60478
unmodified,11,0.79814,0.61582
unmodified,12,0.80745,0.5814
unmodified,13,0.80435,0.61655
unmodified,14,0.81522,0.61611
unmodified,15,0.81522,0.57827
unmodified,16,0.80435,0.54643
unmodified,17,0.82143,0.55973
unmodified,18,0.82453,0.579
unmodified,19,0.83385,0.5684
unmodified,20,0.83385,0.56333
unmodified,21,0.83385,0.5422
unmodified,22,0.85093,0.56777
unmodified,23,0.84161,0.56483
unmodified,24,0.85248,0.49582
unmodified,25,0.84627,0.51445
unmodified,26,0.84627,0.58195
unmodified,27,0.84627,0.49532
unmodified,28,0.85093,0.554
unmodified,29,0.85093,0.51021
unmodified,30,0.84472,0.52992
unmodified,31,0.85404,0.61478
unmodified,32,0.81056,0.64944
unmodified,33,0.80435,0.51605
unmodified,34,0.85714,0.54898
unmodified,35,0.86335,0.48595
unmodified,36,0.84472,0.54166
unmodified,37,0.84472,0.61444
unmodified,38,0.85404,0.64729
unmodified,39,0.84006,0.62467
unmodified,40,0.8587,0.57297
augmented,0,0.15373,1.5942
augmented,1,0.68168,1.4387
augmented,2,0.69255,0.87555
augmented,3,0.73602,0.81233
augmented,4,0.75466,0.75303
augmented,5,0.78882,0.69738
augmented,6,0.79658,0.64218
augmented,7,0.79658,0.62787
augmented,8,0.81211,0.63574
augmented,9,0.82298,0.54413
augmented,10,0.83075,0.51469
augmented,11,0.83075,0.53766
augmented,12,0.84006,0.46699
augmented,13,0.84161,0.47146
augmented,14,0.84006,0.51019
augmented,15,0.85404,0.461
augmented,16,0.84472,0.46752
augmented,17,0.84783,0.46538
augmented,18,0.8587,0.498
augmented,19,0.75311,0.64115
augmented,20,0.79193,0.55443
augmented,21,0.80745,0.53401
augmented,22,0.84006,0.47335
augmented,23,0.84161,0.46879
augmented,24,0.84317,0.43498
augmented,25,0.85093,0.4021
augmented,26,0.84317,0.41487
augmented,27,0.85559,0.44283
augmented,28,0.85248,0.41122
augmented,29,0.82453,0.45246
augmented,30,0.85559,0.41555
augmented,31,0.85714,0.42475
augmented,32,0.86335,0.41569
augmented,33,0.8618,0.39555
augmented,34,0.83385,0.42437
augmented,35,0.86025,0.39354
augmented,36,0.85093,0.38731
augmented,37,0.86025,0.39134
augmented,38,0.86335,0.42563
augmented,39,0.86646,0.38694
augmented,40,0.85404,0.38839
