id,round,accuracy,loss
-1,0,0.1355,1.8175
-1,1,0.1845,1.7675
-1,2,0.2835,1.7264
-1,3,0.2885,1.693
-1,4,0.2905,1.6661
-1,5,0.2905,1.6445
-1,6,0.2935,1.6274
-1,7,0.2795,1.614
-1,8,0.2795,1.6035
-1,9,0.2815,1.5954
-1,10,0.2815,1.5892
-1,11,0.2815,1.5845
-1,12,0.3205,1.581
-1,13,0.3475,1.5784
-1,14,0.3475,1.5766
-1,15,0.3475,1.5753
-1,16,0.3475,1.5744
-1,17,0.3475,1.5739
-1,18,0.3475,1.5736
-1,19,0.3475,1.5735
-1,20,0.3475,1.5736
-1,21,0.3475,1.5737
-1,22,0.3475,1.5739
-1,23,0.3475,1.5742
-1,24,0.3475,1.5745
-1,25,0.3475,1.5748
-1,26,0.3475,1.5752
-1,27,0.3475,1.5755
-1,28,0.3475,1.5758
-1,29,0.3475,1.5762
-1,30,0.3475,1.5765
-1,31,0.3475,1.5767
-1,32,0.3475,1.577
-1,33,0.3475,1.5773
-1,34,0.3475,1.5775
-1,35,0.3475,1.5778
-1,36,0.3475,1.578
-1,37,0.3475,1.5782
-1,38,0.3475,1.5784
-1,39,0.3475,1.5786
-1,40,0.3475,1.5788
0,0,0.1355,1.8175
0,1,0.2525,1.7625
0,2,0.2915,1.7159
0,3,0.2905,1.6824
0,4,0.2905,1.6646
0,5,0.2905,1.6425
0,6,0.2905,1.6245
0,7,0.2905,1.6116
0,8,0.2905,1.5994
0,9,0.2875,1.5847
0,10,0.294,1.587
0,11,0.29,1.5837
0,12,0.351,1.5791
0,13,0.3515,1.5751
0,14,0.3475,1.5691
0,15,0.347,1.57
0,16,0.302,1.5694
0,17,0.345,1.5652
0,18,0.2935,1.5664
0,19,0.3475,1.5664
0,20,0.3475,1.5656
0,21,0.3475,1.5647
0,22,0.314,1.5693
0,23,0.3475,1.5675
0,24,0.348,1.5676
0,25,0.3465,1.5689
0,26,0.344,1.5724
0,27,0.3475,1.5722
0,28,0.3475,1.5715
0,29,0.347,1.5716
0,30,0.35,1.5773
0,31,0.2925,1.5808
0,32,0.286,1.5793
0,33,0.3475,1.5809
0,34,0.3475,1.5786
0,35,0.3475,1.5717
0,36,0.3475,1.5725
0,37,0.3475,1.571
0,38,0.3475,1.5683
0,39,0.3475,1.5675
0,40,0.3475,1.5648
1,0,0.1355,1.8175
1,1,0.1765,1.7658
1,2,0.1765,1.726
1,3,0.2785,1.6923
1,4,0.291,1.6655
1,5,0.279,1.6479
1,6,0.281,1.6316
1,7,0.294,1.6021
1,8,0.289,1.5916
1,9,0.2925,1.5859
1,10,0.333,1.5846
1,11,0.3425,1.5801
1,12,0.3475,1.5766
1,13,0.3475,1.5748
1,14,0.3475,1.5737
1,15,0.3475,1.5741
1,16,0.3475,1.5748
1,17,0.3475,1.5724
1,18,0.3475,1.5738
1,19,0.3475,1.5715
1,20,0.3475,1.5698
1,21,0.3475,1.5697
1,22,0.3475,1.5689
1,23,0.3475,1.5707
1,24,0.3475,1.5704
1,25,0.3475,1.5708
1,26,0.3475,1.5712
1,27,0.3475,1.5706
1,28,0.3475,1.5686
1,29,0.3475,1.5684
1,30,0.3475,1.569
1,31,0.3475,1.5682
1,32,0.3475,1.571
1,33,0.3475,1.5739
1,34,0.3475,1.5744
1,35,0.3475,1.5706
1,36,0.3475,1.5704
1,37,0.3475,1.5712
1,38,0.3475,1.5707
1,39,0.3475,1.5711
1,40,0.3475,1.5712
2,0,0.1355,1.8175
2,1,0.2505,1.7695
2,2,0.2905,1.7243
2,3,0.2905,1.6986
2,4,0.2905,1.6724
2,5,0.2905,1.6514
2,6,0.2905,1.6371
2,7,0.2905,1.6189
2,8,0.2905,1.6055
2,9,0.2905,1.5973
2,10,0.2905,1.5895
2,11,0.283,1.5875
2,12,0.277,1.58
2,13,0.2795,1.5726
2,14,0.2885,1.5746
2,15,0.281,1.5739
2,16,0.282,1.5689
2,17,0.291,1.5671
2,18,0.297,1.5646
2,19,0.292,1.5617
2,20,0.294,1.5636
2,21,0.2885,1.563
2,22,0.315,1.5624
2,23,0.3475,1.5624
2,24,0.345,1.5635
2,25,0.3475,1.5633
2,26,0.3475,1.5644
2,27,0.3475,1.5641
2,28,0.3475,1.5637
2,29,0.3475,1.5637
2,30,0.3475,1.5627
2,31,0.3475,1.562
2,32,0.3475,1.5605
2,33,0.3475,1.564
2,34,0.3475,1.5658
2,35,0.3475,1.5638
2,36,0.3475,1.5637
2,37,0.3475,1.5648
2,38,0.3475,1.5634
2,39,0.3475,1.5655
2,40,0.3475,1.5642
3,0,0.1355,1.8175
3,1,0.2715,1.7612
3,2,0.2905,1.7189
3,3,0.2905,1.7037
3,4,0.2905,1.672
3,5,0.2905,1.6519
3,6,0.2905,1.6284
3,7,0.2905,1.6116
3,8,0.2905,1.5986
3,9,0.2905,1.5892
3,10,0.2905,1.5845
3,11,0.2905,1.5795
3,12,0.2905,1.5776
3,13,0.2925,1.5724
3,14,0.2975,1.5691
3,15,0.3525,1.5655
3,16,0.3335,1.565
