id,round,accuracy,loss
0,0,0.07764,1.6802
0,1,0.68168,1.2582
0,2,0.68168,0.83316
0,3,0.68789,0.75025
0,4,0.70652,0.65568
0,5,0.7236,0.56526
0,6,0.73292,0.57781
0,7,0.7236,0.62751
0,8,0.77019,0.50227
0,9,0.78261,0.47367
0,10,0.81522,0.44601
0,11,0.80901,0.49333
0,12,0.80435,0.42258
0,13,0.80745,0.40835
0,14,0.82143,0.39244
0,15,0.83851,0.41088
0,16,0.82298,0.39435
0,17,0.84317,0.39583
0,18,0.83696,0.37223
0,19,0.84627,0.40281
0,20,0.84317,0.39038
0,21,0.85714,0.36921
0,22,0.8354,0.35559
0,23,0.86025,0.36438
0,24,0.85559,0.37421
0,25,0.8354,0.35317
0,26,0.86025,0.36422
0,27,0.85714,0.3633
0,28,0.85248,0.3505
0,29,0.84472,0.33868
0,30,0.85714,0.34059
0,31,0.85093,0.32362
0,32,0.85714,0.37773
0,33,0.8587,0.34689
0,34,0.85714,0.31165
0,35,0.86335,0.33605
0,36,0.85404,0.33507
0,37,0.85559,0.35337
0,38,0.86646,0.3529
0,39,0.8618,0.32365
0,40,0.8587,0.32603
1,0,0.07764,1.6802
1,1,0.68168,1.0809
1,2,0.68168,0.85175
1,3,0.70807,0.71402
1,4,0.73137,0.62513
1,5,0.7236,0.55511
1,6,0.75,0.51484
1,7,0.74534,0.58343
1,8,0.8028,0.47042
1,9,0.82143,0.4469
1,10,0.80901,0.44689
1,11,0.82453,0.44211
1,12,0.82453,0.37336
1,13,0.82609,0.39963
1,14,0.8323,0.37263
1,15,0.84472,0.36686
1,16,0.85248,0.36688
1,17,0.86646,0.3621
1,18,0.84006,0.37521
1,19,0.85714,0.38605
1,20,0.85404,0.35766
1,21,0.84627,0.35128
1,22,0.8618,0.34297
1,23,0.8587,0.37076
1,24,0.84938,0.36177
1,25,0.85559,0.32798
1,26,0.85404,0.32761
1,27,0.85404,0.35636
1,28,0.8618,0.35873
1,29,0.86025,0.33555
1,30,0.86646,0.35933
1,31,0.86335,0.33501
1,32,0.8587,0.37162
1,33,0.8618,0.33758
1,34,0.85559,0.33696
1,35,0.8618,0.32122
1,36,0.86025,0.36402
1,37,0.86801,0.38157
1,38,0.86025,0.37083
1,39,0.86025,0.33891
1,40,0.86801,0.35114
2,0,0.07764,1.6802
2,1,0.68168,1.2012
2,2,0.68168,0.84867
2,3,0.68323,0.86027
2,4,0.68944,0.72082
2,5,0.7205,0.59809
2,6,0.75155,0.51387
2,7,0.73758,0.5362
2,8,0.79658,0.42734
2,9,0.79193,0.44387
2,10,0.83385,0.43169
2,11,0.84161,0.41744
2,12,0.81988,0.37904
2,13,0.84317,0.38515
2,14,0.84006,0.3721
2,15,0.85714,0.35842
2,16,0.85714,0.3639
2,17,0.86801,0.33781
2,18,0.8618,0.3452
2,19,0.86801,0.38038
2,20,0.87267,0.39492
2,21,0.86335,0.33511
2,22,0.86025,0.32159
2,23,0.86335,0.3669
2,24,0.85093,0.3711
2,25,0.86646,0.30297
2,26,0.86025,0.34939
2,27,0.8618,0.38981
2,28,0.86646,0.33695
2,29,0.86957,0.32823
2,30,0.87112,0.33851
2,31,0.87733,0.31877
2,32,0.8587,0.41061
2,33,0.87578,0.29923
2,34,0.87888,0.3006
2,35,0.88199,0.30231
2,36,0.87267,0.31602
2,37,0.85248,0.41873
2,38,0.86491,0.3397
2,39,0.88199,0.2892
2,40,0.86335,0.33392
