id,round,accuracy,loss
fixed,0,0.15528,1.5834
fixed,1,0.68168,7.6764
fixed,2,0.68168,7.7828
fixed,3,0.68168,7.7276
fixed,4,0.68168,7.8153
fixed,5,0.68168,7.8176
fixed,6,0.68168,7.8539
fixed,7,0.68168,7.7731
fixed,8,0.68168,7.6046
fixed,9,0.68168,7.6557
fixed,10,0.68168,7.6965
fixed,11,0.68168,7.6081
fixed,12,0.68168,7.4682
fixed,13,0.68168,7.2925
fixed,14,0.68168,7.2311
fixed,15,0.68168,7.1214
fixed,16,0.68168,7.0355
fixed,17,0.68168,7.0957
fixed,18,0.68168,7.0488
fixed,19,0.68168,6.946
fixed,20,0.68168,6.9479
fixed,21,0.68168,6.9064
fixed,22,0.68168,7.0125
fixed,23,0.68168,7.02
fixed,24,0.68168,6.9993
fixed,25,0.68168,7.1568
fixed,26,0.68168,7.2143
fixed,27,0.68168,7.3316
fixed,28,0.68168,7.3064
fixed,29,0.68168,7.0691
fixed,30,0.68168,7.3536
fixed,31,0.68168,7.3241
fixed,32,0.68168,7.4536
fixed,33,0.68168,7.328
fixed,34,0.68168,7.1957
fixed,35,0.68168,7.2888
fixed,36,0.68168,7.335
fixed,37,0.68168,7.3844
fixed,38,0.68168,7.3449
fixed,39,0.68168,7.3621
fixed,40,0.68168,7.5337
fixed,41,0.68168,7.5852
fixed,42,0.68168,7.5107
fixed,43,0.68168,7.5102
fixed,44,0.68168,7.4891
fixed,45,0.68168,7.6415
fixed,46,0.68168,1.6043
fixed,47,0.68168,1.0355
fixed,48,0.68168,1.0526
fixed,49,0.68168,0.97699
fixed,50,0.68168,1.0009
dpa-dp,0,0.15528,1.5834
dpa-dp,1,0.68168,7.6761
dpa-dp,2,0.68168,7.8126
dpa-dp,3,0.68168,7.7335
dpa-dp,4,0.68168,7.8412
dpa-dp,5,0.68168,7.8425
dpa-dp,6,0.68168,7.8898
dpa-dp,7,0.68168,7.7503
dpa-dp,8,0.68168,7.5189
dpa-dp,9,0.68168,7.5653
dpa-dp,10,0.68168,7.6094
dpa-dp,11,0.68168,7.5143
dpa-dp,12,0.68168,7.3239
dpa-dp,13,0.68168,7.0833
dpa-dp,14,0.68168,7.0233
dpa-dp,15,0.68168,6.9087
dpa-dp,16,0.68168,6.7766
dpa-dp,17,0.68168,6.8322
dpa-dp,18,0.68168,6.7819
dpa-dp,19,0.68168,6.6543
dpa-dp,20,0.68168,6.6637
dpa-dp,21,0.68168,6.5865
dpa-dp,22,0.68168,6.7667
dpa-dp,23,0.68168,6.7788
dpa-dp,24,0.68168,6.7576
dpa-dp,25,0.68168,6.9758
dpa-dp,26,0.68168,7.0425
dpa-dp,27,0.68168,7.2335
dpa-dp,28,0.68168,7.1946
dpa-dp,29,0.68168,6.8527
dpa-dp,30,0.68168,7.2602
dpa-dp,31,0.68168,7.2103
dpa-dp,32,0.68168,7.4131
dpa-dp,33,0.68168,7.2553
dpa-dp,34,0.68168,7.0925
dpa-dp,35,0.68168,7.2348
dpa-dp,36,0.68168,7.2946
dpa-dp,37,0.68168,7.3943
dpa-dp,38,0.68168,7.3412
dpa-dp,39,0.68168,7.3092
dpa-dp,40,0.68168,7.5635
dpa-dp,41,0.68168,7.6435
dpa-dp,42,0.68168,7.5234
dpa-dp,43,0.68168,7.5146
dpa-dp,44,0.68168,7.4949
dpa-dp,45,0.68168,7.6985
dpa-dp,46,0.68168,2.0897
dpa-dp,47,0.68168,1.0986
