id,round,accuracy,loss
-1,0,0.1032,2.3087
-1,1,0.1924,2.2518
-1,2,0.231,2.1956
-1,3,0.2704,2.136
-1,4,0.2809,2.0826
-1,5,0.2958,2.0438
-1,6,0.3074,2.0063
-1,7,0.318,1.9725
-1,8,0.3223,1.9446
-1,9,0.3296,1.9244
-1,10,0.3383,1.9099
-1,11,0.3276,1.8979
-1,12,0.3469,1.8768
-1,13,0.3402,1.8616
-1,14,0.3517,1.8491
-1,15,0.3532,1.8315
-1,16,0.3569,1.8219
-1,17,0.3591,1.8143
-1,18,0.3623,1.803
-1,19,0.3714,1.7931
-1,20,0.3727,1.7959
-1,21,0.3796,1.7737
-1,22,0.3826,1.7722
-1,23,0.3852,1.7643
-1,24,0.3844,1.7511
-1,25,0.3927,1.7488
-1,26,0.3929,1.7403
-1,27,0.3956,1.7354
-1,28,0.3962,1.7266
-1,29,0.3968,1.7324
-1,30,0.3981,1.7326
-1,31,0.4034,1.7258
-1,32,0.404,1.7142
-1,33,0.4016,1.7117
-1,34,0.4069,1.7123
-1,35,0.4092,1.7009
-1,36,0.4068,1.7037
-1,37,0.4079,1.7077
-1,38,0.4117,1.6991
-1,39,0.4142,1.7033
-1,40,0.4196,1.6924
0,0,0.1032,2.3087
0,1,0.173,2.2496
0,2,0.2389,2.196
0,3,0.2668,2.1396
0,4,0.2805,2.0864
0,5,0.3002,2.045
0,6,0.3066,2.0079
0,7,0.3155,1.9816
0,8,0.3187,1.9555
0,9,0.3194,1.9359
0,10,0.3169,1.9235
0,11,0.3339,1.8978
0,12,0.3396,1.884
0,13,0.3363,1.8689
0,14,0.3442,1.8517
0,15,0.3454,1.8473
0,16,0.3502,1.8305
0,17,0.3629,1.8156
0,18,0.3623,1.8088
0,19,0.3682,1.797
0,20,0.3674,1.7899
0,21,0.3832,1.7691
0,22,0.3751,1.7606
0,23,0.3891,1.7624
0,24,0.3877,1.7461
0,25,0.3897,1.7437
0,26,0.3881,1.752
0,27,0.3871,1.7517
0,28,0.3886,1.7436
0,29,0.3898,1.7615
0,30,0.3962,1.7439
0,31,0.4006,1.7302
0,32,0.4003,1.7326
0,33,0.4009,1.7329
0,34,0.4017,1.7424
0,35,0.4056,1.7303
0,36,0.409,1.7238
0,37,0.4023,1.7354
0,38,0.4145,1.7154
0,39,0.4086,1.726
0,40,0.4123,1.7295
1,0,0.1032,2.3087
1,1,0.1851,2.2474
1,2,0.2445,2.1914
1,3,0.2559,2.1289
1,4,0.2868,2.0786
1,5,0.2966,2.027
1,6,0.3101,1.9873
1,7,0.3104,1.956
1,8,0.317,1.9334
1,9,0.3313,1.9072
1,10,0.3369,1.8931
1,11,0.3423,1.8725
1,12,0.3502,1.8559
1,13,0.3529,1.8391
1,14,0.3561,1.8289
1,15,0.3636,1.82
1,16,0.3653,1.8155
1,17,0.362,1.8056
1,18,0.3761,1.7844
1,19,0.3788,1.7767
1,20,0.3782,1.7677
1,21,0.3836,1.7617
1,22,0.3865,1.7549
1,23,0.3891,1.7505
1,24,0.3921,1.7438
1,25,0.3934,1.7422
1,26,0.3949,1.7469
1,27,0.3982,1.7365
1,28,0.4021,1.7351
1,29,0.4029,1.7319
1,30,0.4035,1.7236
1,31,0.4056,1.7115
1,32,0.4058,1.714
1,33,0.4052,1.7266
1,34,0.4106,1.7169
1,35,0.4134,1.7194
1,36,0.4157,1.7105
1,37,0.4151,1.7211
1,38,0.4223,1.7015
1,39,0.4246,1.7022
1,40,0.4225,1.7115
2,0,0.1032,2.3087
2,1,0.1924,2.2587
2,2,0.2359,2.204
2,3,0.2518,2.143
2,4,0.2658,2.0852
2,5,0.2846,2.0325
2,6,0.2944,1.9928
2,7,0.3004,1.9602
2,8,0.3077,1.9378
2,9,0.3134,1.9167
2,10,0.3202,1.901
2,11,0.3337,1.8765
2,12,0.3406,1.8616
2,13,0.3512,1.8458
2,14,0.3564,1.8314
2,15,0.3546,1.8252
2,16,0.3583,1.8239
2,17,0.3647,1.8048
2,18,0.3622,1.8013
2,19,0.3717,1.7896
2,20,0.3683,1.8128
2,21,0.3787,1.7834
2,22,0.3812,1.787
2,23,0.3867,1.7783
2,24,0.3881,1.7787
2,25,0.3893,1.7688
2,26,0.3904,1.7723
2,27,0.3944,1.7499
2,28,0.4029,1.7379
2,29,0.4045,1.7389
2,30,0.4044,1.7503
2,31,0.4099,1.7344
2,32,0.4133,1.734
2,33,0.4105,1.733
2,34,0.415,1.7461
2,35,0.4132,1.7523
2,36,0.4193,1.7528
2,37,0.4171,1.739
2,38,0.4167,1.7556
2,39,0.4177,1.753
2,40,0.4128,1.7621
3,0,0.1032,2.3087
3,1,0.163,2.2614
3,2,0.2326,2.1954
3,3,0.2582,2.1183
3,4,0.2813,2.0485
3,5,0.2925,2.0051
3,6,0.3017,1.9688
3,7,0.3116,1.9352
3,8,0.3165,1.9148
3,9,0.3221,1.9019
3,10,0.329,1.874
3,11,0.3346,1.863
3,12,0.3359,1.8646
3,13,0.3406,1.8423
3,14,0.3491,1.8312
3,15,0.3489,1.8418
3,16,0.357,1.8359
3,17,0.3572,1.8246
3,18,0.3601,1.8392
3,19,0.3696,1.8167
3,20,0.3727,1.8164
3,21,0.3819,1.7893
3,22,0.3794,1.8156
3,23,0.3909,1.7759
3,24,0.3891,1.7832
3,25,0.3924,1.7761
3,26,0.3896,1.7643
3,27,0.3966,1.7666
3,28,0.3969,1.7715
3,29,0.4013,1.77
3,30,0.4001,1.7654
3,31,0.3979,1.7738
3,32,0.4005,1.7898
3,33,0.4036,1.792
3,34,0.4079,1.7804
3,35,0.4113,1.7759
3,36,0.4187,1.7706
3,37,0.4217,1.7575
3,38,0.424,1.768
3,39,0.4205,1.7724
3,40,0.4234,1.7844
