id,round,accuracy,loss
-1,0,0.083,1.8322
-1,1,0.091,1.8219
-1,2,0.102,1.8119
-1,3,0.106,1.8023
-1,4,0.1165,1.7929
-1,5,0.135,1.7839
-1,6,0.183,1.7752
-1,7,0.2775,1.7668
-1,8,0.3515,1.7586
-1,9,0.3695,1.7508
-1,10,0.378,1.7432
-1,11,0.3685,1.7358
-1,12,0.363,1.7288
-1,13,0.363,1.7219
-1,14,0.363,1.7154
-1,15,0.36,1.709
0,0,0.083,1.8322
0,1,0.095,1.8189
0,2,0.1085,1.8063
0,3,0.1205,1.7942
0,4,0.1465,1.7827
0,5,0.2395,1.7716
0,6,0.325,1.7611
0,7,0.3765,1.751
0,8,0.3775,1.7414
0,9,0.375,1.7321
0,10,0.3675,1.7233
0,11,0.365,1.7149
0,12,0.3635,1.7069
0,13,0.3605,1.6992
0,14,0.3565,1.6918
0,15,0.353,1.6848
1,0,0.083,1.8322
1,1,0.0985,1.8185
1,2,0.112,1.8055
1,3,0.122,1.7931
1,4,0.1485,1.7812
1,5,0.2465,1.7699
1,6,0.327,1.7591
1,7,0.361,1.7488
1,8,0.3635,1.7389
1,9,0.361,1.7295
1,10,0.356,1.7205
1,11,0.35,1.7119
1,12,0.3485,1.7037
1,13,0.3465,1.6958
2,0,0.083,1.8322
2,1,0.097,1.8184
2,2,0.111,1.8053
2,3,0.123,1.7928
2,4,0.1495,1.7809
2,5,0.2325,1.7694
2,6,0.3225,1.7585
3,0,0.083,1.8322
3,1,0.0955,1.8191
3,2,0.1075,1.8066
