id,round,accuracy,loss
-1,0,0.0974,2.3832
-1,1,0.0976,2.3575
-1,2,0.1004,2.3565
-1,3,0.101,2.3635
-1,4,0.1046,2.3759
-1,5,0.107,2.393
-1,6,0.1074,2.4142
-1,7,0.1088,2.4392
-1,8,0.1072,2.4677
-1,9,0.107,2.4995
-1,10,0.1092,2.5343
-1,11,0.108,2.5719
-1,12,0.1074,2.6122
-1,13,0.1082,2.6549
-1,14,0.1088,2.7
-1,15,0.1086,2.7473
0,0,0.0974,2.3832
0,1,0.0978,2.3571
0,2,0.0958,2.3572
0,3,0.1006,2.3649
0,4,0.1062,2.3779
0,5,0.1056,2.3961
0,6,0.1104,2.4193
0,7,0.1094,2.4478
0,8,0.1104,2.4815
0,9,0.109,2.5208
0,10,0.1098,2.5658
0,11,0.1088,2.617
0,12,0.1082,2.6747
0,13,0.1082,2.7394
0,14,0.1094,2.8113
0,15,0.1082,2.8906
1,0,0.0974,2.3832
1,1,0.1026,2.3542
1,2,0.1016,2.3547
1,3,0.102,2.3639
1,4,0.1066,2.3794
1,5,0.1068,2.4008
1,6,0.1092,2.428
1,7,0.1074,2.461
1,8,0.1094,2.4997
1,9,0.1096,2.5443
1,10,0.1074,2.595
1,11,0.1064,2.6519
1,12,0.1068,2.7156
1,13,0.109,2.7861
1,14,0.111,2.864
1,15,0.109,2.9497
2,0,0.0974,2.3832
2,1,0.0972,2.3575
2,2,0.1026,2.3577
2,3,0.1018,2.3667
2,4,0.1048,2.3808
2,5,0.1054,2.4011
2,6,0.1076,2.4276
2,7,0.1032,2.4598
2,8,0.104,2.4987
2,9,0.1048,2.5434
2,10,0.1038,2.5968
2,11,0.1042,2.6546
2,12,0.1058,2.7206
2,13,0.1046,2.7944
2,14,0.1074,2.879
2,15,0.1072,2.9682
3,0,0.0974,2.3832
3,1,0.0974,2.3627
3,2,0.0946,2.3663
3,3,0.0952,2.3779
3,4,0.0974,2.3942
3,5,0.0982,2.4157
3,6,0.097,2.443
3,7,0.098,2.4719
3,8,0.0964,2.5086
3,9,0.1006,2.5516
3,10,0.0974,2.5993
3,11,0.1016,2.6559
3,12,0.1034,2.7188
3,13,0.1,2.7948
3,14,0.1002,2.8855
3,15,0.1022,2.9855
4,0,0.0974,2.3832
4,1,0.0998,2.3594
4,2,0.1014,2.3613
4,3,0.1024,2.3723
4,4,0.1028,2.3838
4,5,0.1096,2.4055
4,6,0.1044,2.4313
4,7,0.1078,2.4562
4,8,0.1074,2.4873
4,9,0.109,2.5241
4,10,0.1138,2.5673
4,11,0.11,2.6183
4,12,0.1112,2.6661
4,13,0.1098,2.7228
4,14,0.1142,2.7878
4,15,0.1154,2.8531
