id,round,accuracy,loss
-1,0,0.1032,2.3087
-1,1,0.1851,2.252
-1,2,0.2411,2.1903
-1,3,0.2672,2.1281
-1,4,0.2756,2.0806
-1,5,0.2989,2.0406
-1,6,0.3023,2.012
-1,7,0.3082,1.9847
-1,8,0.3178,1.967
-1,9,0.324,1.9421
-1,10,0.3373,1.9237
-1,11,0.336,1.9061
-1,12,0.3465,1.8912
-1,13,0.3463,1.8812
-1,14,0.3493,1.8673
-1,15,0.3565,1.8503
-1,16,0.358,1.8391
-1,17,0.3594,1.8315
-1,18,0.3641,1.8135
-1,19,0.3632,1.8029
-1,20,0.3737,1.7969
-1,21,0.3751,1.7845
-1,22,0.3807,1.7777
-1,23,0.3812,1.7795
-1,24,0.3855,1.764
-1,25,0.3831,1.7651
-1,26,0.3867,1.7561
-1,27,0.3916,1.7595
-1,28,0.3929,1.753
-1,29,0.3949,1.7452
-1,30,0.4012,1.7383
-1,31,0.4002,1.7345
-1,32,0.3959,1.7303
-1,33,0.4024,1.7326
-1,34,0.4031,1.7339
-1,35,0.404,1.7207
-1,36,0.4087,1.7171
-1,37,0.4081,1.7194
-1,38,0.4164,1.7083
-1,39,0.4174,1.7113
-1,40,0.4194,1.6951
0,0,0.1032,2.3087
0,1,0.2012,2.254
0,2,0.2346,2.2009
0,3,0.2524,2.1427
0,4,0.2723,2.089
0,5,0.297,2.039
0,6,0.3036,2.0053
0,7,0.3062,1.9774
0,8,0.3125,1.9589
0,9,0.3238,1.9295
0,10,0.3287,1.9065
0,11,0.3421,1.8866
0,12,0.3453,1.8687
0,13,0.3436,1.8511
0,14,0.3501,1.8406
0,15,0.3565,1.8262
0,16,0.3596,1.8078
0,17,0.3598,1.7995
0,18,0.366,1.791
0,19,0.3659,1.7812
0,20,0.3738,1.7695
0,21,0.3741,1.7594
0,22,0.3775,1.7524
0,23,0.3829,1.744
0,24,0.3766,1.7446
0,25,0.3833,1.7379
0,26,0.3873,1.7322
0,27,0.3886,1.7309
0,28,0.3963,1.7305
0,29,0.3945,1.719
0,30,0.3992,1.7186
0,31,0.4028,1.7182
0,32,0.4061,1.7184
0,33,0.4074,1.71
0,34,0.4042,1.7094
0,35,0.408,1.711
0,36,0.4089,1.7101
0,37,0.4103,1.7072
0,38,0.4129,1.7113
0,39,0.4177,1.702
0,40,0.418,1.7014
1,0,0.1032,2.3087
1,1,0.1875,2.2583
1,2,0.2296,2.2035
1,3,0.2503,2.1466
1,4,0.2752,2.0917
1,5,0.285,2.0487
1,6,0.3055,2.0026
1,7,0.3133,1.9729
1,8,0.3256,1.9382
1,9,0.3315,1.9165
1,10,0.3368,1.8947
1,11,0.3413,1.8796
1,12,0.3473,1.862
1,13,0.3489,1.8482
1,14,0.3507,1.8379
1,15,0.3574,1.83
1,16,0.3604,1.8236
1,17,0.3584,1.8174
1,18,0.3616,1.8169
1,19,0.3576,1.8094
1,20,0.3753,1.7912
1,21,0.3788,1.783
1,22,0.3823,1.766
1,23,0.3876,1.7577
1,24,0.3856,1.7566
1,25,0.3867,1.7524
1,26,0.3955,1.7504
1,27,0.3973,1.7442
1,28,0.3932,1.748
1,29,0.3984,1.7378
1,30,0.401,1.7243
1,31,0.3987,1.739
1,32,0.4048,1.7203
1,33,0.4081,1.7211
1,34,0.4132,1.7233
1,35,0.4129,1.7258
1,36,0.411,1.7192
1,37,0.4137,1.7132
1,38,0.4141,1.7258
1,39,0.4188,1.7312
1,40,0.4174,1.7265
2,0,0.1032,2.3087
2,1,0.1899,2.2577
2,2,0.2361,2.1987
2,3,0.2602,2.1361
2,4,0.2782,2.0769
2,5,0.2873,2.0362
2,6,0.2952,2.0046
2,7,0.308,1.9716
2,8,0.3097,1.9501
2,9,0.3198,1.9245
2,10,0.3326,1.9078
2,11,0.3329,1.8891
2,12,0.3419,1.8761
2,13,0.3506,1.8579
2,14,0.3487,1.8548
2,15,0.3535,1.8447
2,16,0.3558,1.8396
2,17,0.3622,1.832
2,18,0.3666,1.8121
2,19,0.3706,1.8169
2,20,0.369,1.8181
2,21,0.3725,1.7961
2,22,0.3785,1.7869
2,23,0.3823,1.7782
2,24,0.3833,1.7878
2,25,0.3852,1.7903
2,26,0.3894,1.7728
2,27,0.3864,1.7646
2,28,0.3918,1.7722
2,29,0.3972,1.7644
2,30,0.3951,1.7714
2,31,0.4018,1.764
2,32,0.4027,1.7589
2,33,0.4074,1.7492
2,34,0.4061,1.7429
2,35,0.4083,1.7566
2,36,0.4142,1.747
2,37,0.4117,1.7704
2,38,0.416,1.775
2,39,0.4161,1.7586
2,40,0.4185,1.767
3,0,0.1032,2.3087
3,1,0.1936,2.2534
3,2,0.2229,2.1883
3,3,0.2452,2.1146
3,4,0.281,2.0552
3,5,0.268,2.0106
3,6,0.2959,1.9741
3,7,0.3057,1.9479
3,8,0.3073,1.9393
3,9,0.3214,1.9039
3,10,0.3306,1.8879
3,11,0.3437,1.8549
3,12,0.3451,1.8458
3,13,0.3508,1.8211
3,14,0.3671,1.8131
3,15,0.3576,1.8439
3,16,0.372,1.7946
3,17,0.3727,1.8013
3,18,0.3778,1.7915
3,19,0.385,1.7801
3,20,0.387,1.7863
3,21,0.3793,1.7882
3,22,0.3878,1.7649
3,23,0.3958,1.7566
3,24,0.4064,1.7387
3,25,0.4067,1.7491
3,26,0.4035,1.7521
3,27,0.4058,1.7312
3,28,0.4079,1.7592
3,29,0.4046,1.7518
