id,round,accuracy,loss
0.1,0,0.1032,2.3087
0.1,1,0.3853,1.7947
0.1,2,0.4739,1.5073
0.1,3,0.5206,1.3608
0.1,4,0.5503,1.2772
0.1,5,0.5787,1.1962
0.1,6,0.6063,1.1374
0.1,7,0.6225,1.0767
0.1,8,0.6356,1.0443
0.1,9,0.648,1.0028
0.1,10,0.6602,0.96619
0.1,11,0.6676,0.94257
0.1,12,0.6748,0.92339
0.1,13,0.6863,0.89463
0.1,14,0.6887,0.88466
0.1,15,0.7007,0.86005
0.01,0,0.1032,2.3087
0.01,1,0.3411,1.9085
0.01,2,0.3978,1.7286
0.01,3,0.4391,1.6143
0.01,4,0.4631,1.5328
0.01,5,0.4848,1.4705
0.01,6,0.5043,1.4215
0.01,7,0.5177,1.3761
0.01,8,0.5302,1.3357
0.01,9,0.5444,1.2978
0.01,10,0.5578,1.2615
0.01,11,0.5679,1.2285
0.01,12,0.5808,1.1961
0.01,13,0.5951,1.1675
0.01,14,0.603,1.1391
0.01,15,0.6115,1.113
0.001,0,0.1032,2.3087
0.001,1,0.2128,2.2462
0.001,2,0.2578,2.1868
0.001,3,0.281,2.1239
0.001,4,0.2965,2.0657
0.001,5,0.3069,2.0169
0.001,6,0.3162,1.9759
0.001,7,0.3264,1.9398
0.001,8,0.3385,1.9067
0.001,9,0.3468,1.876
0.001,10,0.354,1.8473
0.001,11,0.3614,1.8209
0.001,12,0.3696,1.7967
0.001,13,0.3755,1.7745
0.001,14,0.3798,1.7542
0.001,15,0.3869,1.7351
