id,round,accuracy,loss
0.1,0,0.1007,2.3373
0.1,1,0.0622,2.6376
0.1,2,0.2215,2.1416
0.1,3,0.2383,2.0401
0.1,4,0.2322,2.009
0.1,5,0.2455,1.9655
0.1,6,0.2415,1.983
0.1,7,0.2472,1.9664
0.1,8,0.2528,1.9578
0.1,9,0.2671,1.9456
0.1,10,0.2776,1.9175
0.1,11,0.2833,1.9
0.1,12,0.3077,1.8544
0.1,13,0.3013,1.8875
0.1,14,0.3112,1.8539
0.1,15,0.337,1.7933
0.01,0,0.1007,2.3373
0.01,1,0.3144,1.8873
0.01,2,0.3429,1.816
0.01,3,0.3595,1.7749
0.01,4,0.3694,1.7477
0.01,5,0.3764,1.7275
0.01,6,0.382,1.7112
0.01,7,0.3879,1.6973
0.01,8,0.3924,1.6852
0.01,9,0.3964,1.6743
0.01,10,0.3993,1.6644
0.01,11,0.4023,1.6553
0.01,12,0.4062,1.6468
0.01,13,0.4094,1.6389
0.01,14,0.4117,1.6313
0.01,15,0.4132,1.6243
0.001,0,0.1007,2.3373
0.001,1,0.2569,2.0853
0.001,2,0.2793,2.0151
0.001,3,0.2943,1.9743
0.001,4,0.3007,1.9457
0.001,5,0.3081,1.9237
0.001,6,0.313,1.9056
0.001,7,0.3204,1.8902
0.001,8,0.3245,1.8767
0.001,9,0.3282,1.8645
0.001,10,0.332,1.8535
0.001,11,0.3356,1.8434
0.001,12,0.3372,1.8341
0.001,13,0.3403,1.8254
0.001,14,0.3434,1.8174
0.001,15,0.3464,1.8099
