id,round,accuracy,loss
0.1,0,0.0741,2.325
0.1,1,0.221,3.277
0.1,2,0.6852,0.94986
0.1,3,0.7952,0.60706
0.1,4,0.8254,0.52778
0.1,5,0.8363,0.49811
0.1,6,0.8433,0.4798
0.1,7,0.8453,0.47827
0.1,8,0.8456,0.48107
0.1,9,0.8505,0.47986
0.1,10,0.8526,0.48405
0.1,11,0.8519,0.49412
0.1,12,0.8503,0.49944
0.1,13,0.8493,0.51981
0.1,14,0.8515,0.52424
0.1,15,0.8525,0.53355
0.01,0,0.0741,2.325
0.01,1,0.7175,0.84255
0.01,2,0.7813,0.63882
0.01,3,0.8034,0.5746
0.01,4,0.8173,0.51816
0.01,5,0.8245,0.49736
0.01,6,0.8293,0.48598
0.01,7,0.8315,0.47708
0.01,8,0.8345,0.46965
0.01,9,0.8372,0.46321
0.01,10,0.8388,0.4577
0.01,11,0.8407,0.45295
0.01,12,0.8436,0.44886
0.01,13,0.8454,0.44534
0.01,14,0.8469,0.44232
0.01,15,0.8481,0.43973
0.001,0,0.0741,2.325
0.001,1,0.6243,1.4206
0.001,2,0.714,1.0348
0.001,3,0.7402,0.86722
0.001,4,0.7618,0.74421
0.001,5,0.7718,0.69018
0.001,6,0.7783,0.66054
0.001,7,0.7827,0.63969
0.001,8,0.7863,0.62373
0.001,9,0.7874,0.6109
0.001,10,0.7905,0.60033
0.001,11,0.7942,0.5914
0.001,12,0.7958,0.58371
0.001,13,0.798,0.577
0.001,14,0.8013,0.57104
0.001,15,0.8034,0.56571
0.0001,0,0.0741,2.325
0.0001,1,0.2536,2.1693
0.0001,2,0.4224,2.0095
0.0001,3,0.5395,1.862
0.0001,4,0.6084,1.7102
0.0001,5,0.6416,1.5935
0.0001,6,0.6622,1.4983
0.0001,7,0.6772,1.4163
0.0001,8,0.6863,1.3448
0.0001,9,0.6952,1.2823
0.0001,10,0.7015,1.2273
0.0001,11,0.7081,1.1789
0.0001,12,0.7136,1.136
0.0001,13,0.718,1.0978
0.0001,14,0.7222,1.0638
0.0001,15,0.7264,1.0332
0.00001,0,0.0741,2.325
0.00001,1,0.1155,2.3019
0.00001,2,0.1186,2.2823
0.00001,3,0.1365,2.26
0.00001,4,0.1592,2.2368
0.00001,5,0.1834,2.2177
0.00001,6,0.2043,2.1993
0.00001,7,0.2276,2.1811
0.00001,8,0.2492,2.1632
0.00001,9,0.2707,2.1454
0.00001,10,0.2909,2.1279
0.00001,11,0.3109,2.1107
0.00001,12,0.33,2.0937
0.00001,13,0.3471,2.0769
0.00001,14,0.3672,2.0604
0.00001,15,0.386,2.044
0.000001,0,0.0741,2.325
0.000001,1,0.104,2.316
0.000001,2,0.0939,2.3133
0.000001,3,0.0945,2.3084
0.000001,4,0.1012,2.3051
0.000001,5,0.1074,2.304
0.000001,6,0.1083,2.3024
0.000001,7,0.1096,2.3005
0.000001,8,0.1114,2.2985
0.000001,9,0.1128,2.2966
0.000001,10,0.114,2.2946
0.000001,11,0.1153,2.2927
0.000001,12,0.1171,2.2908
0.000001,13,0.1194,2.2888
0.000001,14,0.1199,2.2869
0.000001,15,0.1215,2.2849
0.0000001,0,0.0741,2.325
0.0000001,1,0.1033,2.3174
0.0000001,2,0.0924,2.3165
0.0000001,3,0.0915,2.3133
0.0000001,4,0.0965,2.3121
0.0000001,5,0.0993,2.3128
0.0000001,6,0.1002,2.313
0.0000001,7,0.1,2.3129
0.0000001,8,0.1003,2.3128
0.0000001,9,0.1004,2.3126
0.0000001,10,0.1008,2.3124
0.0000001,11,0.1009,2.3122
0.0000001,12,0.1009,2.312
0.0000001,13,0.1011,2.3118
0.0000001,14,0.1012,2.3116
0.0000001,15,0.1016,2.3115
1,0,0.0741,2.325
1,1,0.1,nan
1,2,0.1,nan
1,3,0.1,nan
1,4,0.1,nan
1,5,0.1,nan
1,6,0.1,nan
1,7,0.1,nan
1,8,0.1,nan
1,9,0.1,nan
1,10,0.1,nan
1,11,0.1,nan
1,12,0.1,nan
1,13,0.1,nan
1,14,0.1,nan
1,15,0.1,nan
